"site","time_scale","drought_type","lat","lon","trend_type","p_value","z","method","n","note","s","var_s","tau","alternative","trend_likelihood","period_start","period_end","region"
"Reefton (West Coast)","6","Agricultural drought",-42.11578,171.86014,"Duration",0.07213313742495213,1.4600866001523618,"Mann-Kendall",16,NA,33,480.3333333333333,0.28854268442285097,"greater","Very likely increasing",1972,2022,"West Coast"
"Rotorua (Bay of Plenty)","12","Hydrological drought",-38.10595,176.31485,"Duration",0.03681913506015134,1.7888543819998317,"Mann-Kendall",10,NA,21,125,0.4666666666666666,"greater","Very likely increasing",1972,2022,"Bay of Plenty"
"Rotorua (Bay of Plenty)","3","Meteorological drought",-38.10595,176.31485,"Duration",0.2031123578128158,0.8305556183273551,"Mann-Kendall",24,NA,34,1578.6666666666667,0.1299566583628112,"greater","Likely increasing",1972,2022,"Bay of Plenty"
"Rotorua (Bay of Plenty)","6","Agricultural drought",-38.10595,176.31485,"Duration",0.3929976654495766,0.2715145235871763,"Mann-Kendall",16,NA,7,488.3333333333333,0.0595879571531124,"greater","Indeterminate",1972,2022,"Bay of Plenty"
"Tara Hills (Canterbury)","12","Hydrological drought",-44.52612,169.88948,"Duration",0.028824696214797343,1.898354550656963,"Mann-Kendall",13,NA,32,266.6666666666667,0.41561946677290484,"greater","Very likely increasing",1972,2022,"Canterbury"
"Tara Hills (Canterbury)","3","Meteorological drought",-44.52612,169.88948,"Duration",0.6380001435243278,-0.35311835487960336,"Mann-Kendall",23,NA,-14,1355.3333333333333,-0.06045049265964378,"greater","Indeterminate",1972,2022,"Canterbury"
"Tara Hills (Canterbury)","6","Agricultural drought",-44.52612,169.88948,"Duration",0.3106356914440992,0.49404927126840986,"Mann-Kendall",19,NA,15,803,0.09096925576737037,"greater","Likely increasing",1972,2022,"Canterbury"
"Taumarunui (Manawatū-Whanganui)","12","Hydrological drought",-38.88784,175.25981,"Duration",0.65189232437813,-0.3904344047215152,"Mann-Kendall",11,NA,-6,164,-0.11009637651263605,"greater","Indeterminate",1972,2022,"Manawatū-Whanganui"
"Taumarunui (Manawatū-Whanganui)","3","Meteorological drought",-38.88784,175.25981,"Duration",0.34441097307985763,0.40045428748314876,"Mann-Kendall",29,NA,22,2750,0.057867492635635696,"greater","Indeterminate",1972,2022,"Manawatū-Whanganui"
"Taumarunui (Manawatū-Whanganui)","6","Agricultural drought",-38.88784,175.25981,"Duration",0.676150651082774,-0.45696152852318667,"Mann-Kendall",19,NA,-14,809.3333333333334,-0.08360034245500217,"greater","Likely decreasing",1972,2022,"Manawatū-Whanganui"
"Taupō (Waikato)","12","Hydrological drought",-38.74263,176.08104,"Duration",0.11477810693945983,1.2015028183722212,"Mann-Kendall",7,"Less than 10 values provided. ",9,44.333333333333336,0.42857142857142855,"greater","Likely increasing",1972,2022,"Waikato"
"Taupō (Waikato)","3","Meteorological drought",-38.74263,176.08104,"Duration",0.7553269373880324,-0.6913491917444904,"Mann-Kendall",23,NA,-27,1414.3333333333333,-0.11026287968629273,"greater","Likely decreasing",1972,2022,"Waikato"
"Taupō (Waikato)","6","Agricultural drought",-38.74263,176.08104,"Duration",0.6882227996723203,-0.4908190987562419,"Mann-Kendall",13,NA,-9,265.6666666666667,-0.1176696810829104,"greater","Likely decreasing",1972,2022,"Waikato"
"Tauranga (Bay of Plenty)","12","Hydrological drought",-37.673,176.196,"Duration",0.14725369684005504,1.0482848367219184,"Mann-Kendall",9,"Less than 10 values provided. ",11,91,0.3098898934004561,"greater","Likely increasing",1972,2022,"Bay of Plenty"
"Tauranga (Bay of Plenty)","3","Meteorological drought",-37.673,176.196,"Duration",0.11902947302382473,1.1798523456200318,"Mann-Kendall",20,NA,37,931,0.20291114392962026,"greater","Likely increasing",1972,2022,"Bay of Plenty"
