Date(NZST),Sunshine(Hrs),Period(Hrs),Freq
20100729,3.2,24,D
20100730,6.6,24,D
20100731,0,24,D
20100801,0.2,24,D
20100802,0.8,24,D
20100803,5.5,24,D
20100804,0.5,24,D
20100805,5.3,24,D
20100806,1.8,24,D
20100807,0,24,D
20100808,0.4,24,D
20100809,8.4,24,D
20100810,8.8,24,D
20100811,5.8,24,D
20100812,0,24,D
20100813,0,24,D
20100814,5.1,24,D
20100815,6.6,24,D
20100816,1.5,24,D
20100817,0.6,24,D
20100818,4.3,24,D
20100819,6.8,24,D
20100820,7.8,24,D
20100821,3,24,D
20100822,1,24,D
20100823,2,24,D
20100824,3.7,24,D
20100825,4.2,24,D
20100826,4,24,D
20100827,1.6,24,D
20100828,0.1,24,D
20100829,5.1,24,D
20100830,7.7,24,D
20100831,6.3,24,D
20100901,3.6,24,D
20100902,0.2,24,D
20100903,1.3,24,D
20100904,1.7,24,D
20100905,1.4,24,D
20100906,0.2,24,D
20100907,3.9,24,D
20100908,6.2,24,D
20100909,8.6,24,D
20100910,5.8,24,D
20100911,0,24,D
20100912,1.9,24,D
20100913,0.5,24,D
20100914,1,24,D
20100915,5.9,24,D
20100916,1.7,24,D
20100917,0.7,24,D
20100918,1.9,24,D
20100919,5.4,24,D
20100920,1.1,24,D
20100921,2.5,24,D
20100922,4.1,24,D
20100923,3.2,24,D
20100924,0.4,24,D
20100925,5.2,24,D
20100926,3.3,24,D
20100927,9.3,24,D
20100928,0.8,24,D
20100929,0,24,D
20100930,0.3,24,D
20101001,7.2,24,D
20101002,8.2,24,D
20101003,11.4,24,D
20101004,9.9,24,D
20101005,6.8,24,D
20101006,0.6,24,D
20101007,6.4,24,D
20101008,1,24,D
20101009,0.9,24,D
20101010,0.7,24,D
20101011,11.8,24,D
20101012,11.8,24,D
20101013,11.8,24,D
20101014,11.9,24,D
20101015,11.9,24,D
20101016,9.3,24,D
20101017,2.3,24,D
20101018,4.1,24,D
20101019,1.8,24,D
20101020,5.5,24,D
20101021,4.2,24,D
20101022,9.8,24,D
20101023,11.7,24,D
20101024,4.4,24,D
20101025,4,24,D
20101026,12.4,24,D
20101027,7.2,24,D
20101028,3,24,D
20101029,2.3,24,D
20101030,12.5,24,D
20101031,12.2,24,D
20101101,6.8,24,D
20101102,7.9,24,D
20101103,8.2,24,D
20101104,1.1,24,D
20101105,2,24,D
20101106,12.7,24,D
20101107,12.3,24,D
20101108,4.3,24,D
20101109,12.8,24,D
20101110,11.1,24,D
20101111,5.1,24,D
20101112,4.9,24,D
20101113,10.7,24,D
20101114,1.4,24,D
20101115,9.9,24,D
20101116,4.2,24,D
20101117,9.5,24,D
20101118,6.4,24,D
20101119,3.6,24,D
20101120,0.1,24,D
20101121,7.4,24,D
20101122,10.6,24,D
20101123,10,24,D
20101124,12.9,24,D
20101125,10.5,24,D
20101126,12.6,24,D
20101127,10.9,24,D
20101128,9.5,24,D
20101129,13.4,24,D
20101130,10.8,24,D
20101201,5.9,24,D
20101202,11.8,24,D
20101203,7.9,24,D
20101204,11.6,24,D
20101205,5.7,24,D
20101206,2.4,24,D
20101207,6,24,D
20101208,6.8,24,D
20101209,7.9,24,D
20101210,3.6,24,D
20101211,7.4,24,D
20101212,6.4,24,D
20101213,1.5,24,D
20101214,9.9,24,D
20101215,13.4,24,D
20101216,2.2,24,D
20101217,0,24,D
20101218,9.5,24,D
20101219,2.3,24,D
20101220,0.1,24,D
20101221,0.5,24,D
20101222,4.1,24,D
20101223,8.3,24,D
20101224,3.7,24,D
20101225,5.9,24,D
20101226,3.8,24,D
20101227,1.4,24,D
20101228,1.1,24,D
20101229,12.1,24,D
20101230,10.4,24,D
20101231,4.5,24,D
20110101,10.9,24,D
20110102,3.2,24,D
20110103,5.2,24,D
20110104,2.8,24,D
20110105,0,24,D
20110106,1.5,24,D
20110107,9.9,24,D
20110108,13,24,D
20110109,13.5,24,D
20110110,12.6,24,D
20110111,5.5,24,D
20110112,6.1,24,D
20110113,8.1,24,D
20110114,11.7,24,D
20110115,5.4,24,D
20110116,2,24,D
20110117,8.6,24,D
20110118,0,24,D
20110119,7.9,24,D
20110120,7.3,24,D
20110121,3,24,D
20110122,9.9,24,D
20110123,3.2,24,D
20110124,12.9,24,D
20110125,11.4,24,D
20110126,10.1,24,D
20110127,11,24,D
20110128,8.6,24,D
20110129,4.2,24,D
20110130,1.2,24,D
20110131,5.6,24,D
20110201,6.8,24,D
20110202,1.2,24,D
20110203,3.8,24,D
20110204,5.3,24,D
20110205,6.8,24,D
20110206,4.9,24,D
20110207,1.8,24,D
20110208,10.4,24,D
20110209,11.1,24,D
20110210,11.2,24,D
20110211,11.9,24,D
20110212,5.7,24,D
20110213,0.2,24,D
20110214,7,24,D
20110215,10.4,24,D
20110216,11.1,24,D
20110217,10.4,24,D
20110218,4,24,D
20110219,3.1,24,D
20110220,6,24,D
20110221,5,24,D
20110222,0,24,D
20110223,4.5,24,D
20110224,8.6,24,D
20110225,5,24,D
20110226,6.8,24,D
20110227,4.2,24,D
20110228,4.1,24,D
20110301,1.1,24,D
20110302,4.4,24,D
20110303,10.6,24,D
20110304,4.1,24,D
20110305,3.8,24,D
20110306,10.2,24,D
20110307,11.5,24,D
20110308,9.8,24,D
20110309,7.1,24,D
20110310,10.7,24,D
20110311,3.9,24,D
20110312,8.5,24,D
20110313,9.1,24,D
20110314,6.9,24,D
20110315,5.2,24,D
20110316,0.6,24,D
20110317,0.9,24,D
20110318,8.1,24,D
20110319,6.5,24,D
20110320,10.9,24,D
20110321,10.8,24,D
20110322,10.4,24,D
20110323,10.8,24,D
20110324,10.6,24,D
20110325,8.8,24,D
20110326,5.3,24,D
20110327,0.1,24,D
20110328,4.1,24,D
20110329,7.4,24,D
20110330,10.4,24,D
20110331,4.9,24,D
20110401,10.3,24,D
20110402,8.8,24,D
20110403,0.2,24,D
20110404,0,24,D
20110405,7.5,24,D
20110406,2,24,D
20110407,6.4,24,D
20110408,9.2,24,D
20110409,1.4,24,D
20110410,0,24,D
