Station,Date(NZST)_Incl_secs,Amount(mm),Period(min),Freq
3925,20090220:102630,0.29,23.7,BPS
3925,20090220:104818,0.57,21.8,BPS
3925,20090220:105548,0,7.5,BPS
3925,20090220:105742,0.43,1.9,BPS
3925,20090220:105924,0.12,1.7,BPS
3925,20090220:111006,0.31,10.7,BPS
3925,20090220:112124,0.14,11.3,BPS
3925,20090220:113936,0,18.2,BPS
3925,20090220:115106,0.19,11.5,BPS
3925,20090220:115524,0.22,4.3,BPS
3925,20090220:120412,0.14,8.8,BPS
3925,20090220:121836,0.13,14.4,BPS
3925,20090220:122548,0.43,7.2,BPS
3925,20090220:130224,0.24,36.6,BPS
3925,20090220:130906,0.1,6.7,BPS
3925,20090220:132824,0,19.3,BPS
3925,20090220:133948,0.09,11.4,BPS
3925,20090220:155812,0,138.4,BPS
3925,20090220:160000,0.15,1.8,BPS
3925,20090220:160200,0.27,2,BPS
3925,20090220:160718,0.07,5.3,BPS
3925,20090220:191106,0,183.8,BPS
3925,20090220:192248,0.13,11.7,BPS
3925,20090220:192842,0.47,5.9,BPS
3925,20090220:194118,0.69,12.6,BPS
3925,20090220:194954,0.79,8.6,BPS
3925,20090220:201224,0.49,22.5,BPS
3925,20090220:201536,0.18,3.2,BPS
3925,20090220:202230,0.09,6.9,BPS
3925,20090220:203642,0.43,14.2,BPS
3925,20090220:205054,0.2,14.2,BPS
3925,20090220:205906,0,8.2,BPS
3925,20090220:211248,0.4,13.7,BPS
3925,20090220:212618,0.12,13.5,BPS
3925,20090220:214142,0.38,15.4,BPS
3925,20090220:215900,0.8,17.3,BPS
3925,20090220:221136,0.43,12.6,BPS
3925,20090220:223654,1.22,25.3,BPS
3925,20090220:224806,0.4,11.2,BPS
3925,20090220:225230,0.39,4.4,BPS
3925,20090220:225512,0.14,2.7,BPS
3925,20090220:230942,0.32,14.5,BPS
3925,20090220:232200,0.61,12.3,BPS
3925,20090220:232906,0.2,7.1,BPS
3925,20090220:234718,0.29,18.2,BPS
3925,20090221:000006,0,12.8,BPS
3925,20090221:000612,0.15,6.1,BPS
3925,20090221:001500,0,8.8,BPS
3925,20090221:004148,0.28,26.8,BPS
3925,20090221:005424,0.19,12.6,BPS
3925,20090221:012012,0,25.8,BPS
3925,20090221:012742,0.22,7.5,BPS
3925,20090221:015054,0.25,23.2,BPS
3925,20090221:021248,0.45,21.9,BPS
3925,20090221:022142,0.26,8.9,BPS
3925,20090221:025024,1.21,28.7,BPS
3925,20090221:025754,0.21,7.5,BPS
3925,20090221:032236,0.47,24.7,BPS
3925,20090221:032630,0.18,3.9,BPS
3925,20090221:033842,0.18,12.2,BPS
3925,20090222:011806,0,1299.4,BPS
3925,20090222:012330,0.16,5.4,BPS
3925,20090222:031154,0,108.4,BPS
3925,20090222:032900,0.64,17.1,BPS
3925,20090222:034748,0.11,18.8,BPS
3925,20090222:035136,0.1,3.8,BPS
3925,20090222:041024,0.2,18.8,BPS
3925,20090222:042348,0,13.4,BPS
3925,20090222:042818,0.19,4.5,BPS
3925,20090222:043418,0.13,6,BPS
3925,20090222:044524,0.13,11.1,BPS
3925,20090222:052536,0,40.2,BPS
3925,20090222:054248,0.17,17.2,BPS
3925,20090222:063512,0.17,52.4,BPS
3925,20090222:064142,0.21,6.5,BPS
3925,20090222:064718,0,5.6,BPS
3925,20090222:065030,0.15,3.2,BPS
3925,20090222:065548,0.04,5.3,BPS
3925,20090222:091506,0,139.3,BPS
3925,20090222:092100,0.15,5.9,BPS
3925,20090222:093124,0.16,10.4,BPS
3925,20090222:102212,0,50.8,BPS
3925,20090222:102630,0.2,4.3,BPS
3925,20090222:102918,0.04,2.8,BPS
3925,20090222:112454,0,55.6,BPS
3925,20090222:112906,0.15,4.2,BPS
3925,20090222:113612,0.43,7.1,BPS
3925,20090222:114736,0,11.4,BPS
