Timestamp,UTC Offset,Multiple Gauge Rainfall Recency Alarm (on/off),Quality,Rainfall (mm),Quality,Rainfall (Accumulated) (mm),Quality
2023-03-14 01:00:00,13,0,Automated Process or Synthetic,,No data available,1399,Automated Process or Synthetic
2023-03-15 01:00:00,13,0,Automated Process or Synthetic,,No data available,1399,Automated Process or Synthetic
2023-03-16 01:00:00,13,0,Automated Process or Synthetic,4,No quality or non-verified,1403,Automated Process or Synthetic
2023-03-17 01:00:00,13,0,Automated Process or Synthetic,15,No quality or non-verified,1418,Automated Process or Synthetic
2023-03-18 01:00:00,13,0,Automated Process or Synthetic,8,No quality or non-verified,1426,Automated Process or Synthetic
2023-03-19 01:00:00,13,0,Automated Process or Synthetic,,No data available,1426,Automated Process or Synthetic
2023-03-20 01:00:00,13,0,Automated Process or Synthetic,,No data available,1426,Automated Process or Synthetic
2023-03-21 01:00:00,13,0,Automated Process or Synthetic,11.5,No quality or non-verified,1437.5,Automated Process or Synthetic
2023-03-22 01:00:00,13,0,Automated Process or Synthetic,0.5,No quality or non-verified,1438,Automated Process or Synthetic
2023-03-23 01:00:00,13,0,Automated Process or Synthetic,,No data available,1438,Automated Process or Synthetic
2023-03-24 01:00:00,13,0,Automated Process or Synthetic,,No data available,1438,Automated Process or Synthetic
2023-03-25 01:00:00,13,0,Automated Process or Synthetic,,No data available,1438,Automated Process or Synthetic
2023-03-26 01:00:00,13,0,Automated Process or Synthetic,,No data available,1438,Automated Process or Synthetic
2023-03-27 01:00:00,13,0,Automated Process or Synthetic,,No data available,1438,Automated Process or Synthetic
2023-03-28 01:00:00,13,0,Automated Process or Synthetic,2,No quality or non-verified,1440,Automated Process or Synthetic
2023-03-29 01:00:00,13,0,Automated Process or Synthetic,1,No quality or non-verified,1441,Automated Process or Synthetic
2023-03-30 01:00:00,13,0,Automated Process or Synthetic,,No data available,1441,Automated Process or Synthetic
2023-03-31 01:00:00,13,0,Automated Process or Synthetic,,No data available,1441,Automated Process or Synthetic
2023-04-01 01:00:00,13,0,Automated Process or Synthetic,4,No quality or non-verified,1445,Automated Process or Synthetic
2023-04-02 01:00:00,13,0,Automated Process or Synthetic,,No data available,1445,Automated Process or Synthetic
2023-04-03 00:00:00,12,0,Automated Process or Synthetic,2,No quality or non-verified,1447,Automated Process or Synthetic
2023-04-04 00:00:00,12,0,Automated Process or Synthetic,,No data available,1447,Automated Process or Synthetic
2023-04-05 00:00:00,12,0,Automated Process or Synthetic,,No data available,1447,Automated Process or Synthetic
2023-04-06 00:00:00,12,0,Automated Process or Synthetic,14,No quality or non-verified,1461,Automated Process or Synthetic
2023-04-07 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1461.5,Automated Process or Synthetic
2023-04-08 00:00:00,12,0,Automated Process or Synthetic,,No data available,1461.5,Automated Process or Synthetic
2023-04-09 00:00:00,12,0,Automated Process or Synthetic,7.5,No quality or non-verified,1469,Automated Process or Synthetic
2023-04-10 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1469.5,Automated Process or Synthetic
2023-04-11 00:00:00,12,0,Automated Process or Synthetic,2,No quality or non-verified,1471.5,Automated Process or Synthetic
2023-04-12 00:00:00,12,0,Automated Process or Synthetic,6,No quality or non-verified,1477.5,Automated Process or Synthetic
2023-04-13 00:00:00,12,0,Automated Process or Synthetic,,No data available,1477.5,Automated Process or Synthetic
2023-04-14 00:00:00,12,0,Automated Process or Synthetic,,No data available,1477.5,Automated Process or Synthetic
2023-04-15 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1478,Automated Process or Synthetic
2023-04-16 00:00:00,12,0,Automated Process or Synthetic,,No data available,1478,Automated Process or Synthetic
2023-04-17 00:00:00,12,0,Automated Process or Synthetic,,No data available,1478,Automated Process or Synthetic
2023-04-18 00:00:00,12,0,Automated Process or Synthetic,,No data available,1478,Automated Process or Synthetic
2023-04-19 00:00:00,12,0,Automated Process or Synthetic,,No data available,1478,Automated Process or Synthetic
2023-04-20 00:00:00,12,0,Automated Process or Synthetic,,No data available,1478,Automated Process or Synthetic
2023-04-21 00:00:00,12,0,Automated Process or Synthetic,13.5,No quality or non-verified,1491.5,Automated Process or Synthetic
2023-04-22 00:00:00,12,0,Automated Process or Synthetic,8,No quality or non-verified,1499.5,Automated Process or Synthetic
2023-04-23 00:00:00,12,0,Automated Process or Synthetic,,No data available,1499.5,Automated Process or Synthetic
2023-04-24 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1500,Automated Process or Synthetic
2023-04-25 00:00:00,12,0,Automated Process or Synthetic,,No data available,1500,Automated Process or Synthetic
2023-04-26 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1500.5,Automated Process or Synthetic
2023-04-27 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1501,Automated Process or Synthetic
2023-04-28 00:00:00,12,0,Automated Process or Synthetic,2.5,No quality or non-verified,1503.5,Automated Process or Synthetic
2023-04-29 00:00:00,12,0,Automated Process or Synthetic,,No data available,1503.5,Automated Process or Synthetic
2023-04-30 00:00:00,12,0,Automated Process or Synthetic,11.5,No quality or non-verified,1515,Automated Process or Synthetic
2023-05-01 00:00:00,12,0,Automated Process or Synthetic,23,No quality or non-verified,1538,Automated Process or Synthetic
2023-05-02 00:00:00,12,0,Automated Process or Synthetic,1.5,No quality or non-verified,1539.5,Automated Process or Synthetic
2023-05-03 00:00:00,12,0,Automated Process or Synthetic,8.5,No quality or non-verified,1548,Automated Process or Synthetic
2023-05-04 00:00:00,12,0,Automated Process or Synthetic,35,No quality or non-verified,1583,Automated Process or Synthetic
2023-05-05 00:00:00,12,0,Automated Process or Synthetic,5,No quality or non-verified,1588,Automated Process or Synthetic
2023-05-06 00:00:00,12,0,Automated Process or Synthetic,1.5,No quality or non-verified,1589.5,Automated Process or Synthetic
2023-05-07 00:00:00,12,0,Automated Process or Synthetic,1.5,No quality or non-verified,1591,Automated Process or Synthetic
2023-05-08 00:00:00,12,0,Automated Process or Synthetic,4.5,No quality or non-verified,1595.5,Automated Process or Synthetic
2023-05-09 00:00:00,12,0,Automated Process or Synthetic,81,No quality or non-verified,1676.5,Automated Process or Synthetic
2023-05-10 00:00:00,12,0,Automated Process or Synthetic,6,No quality or non-verified,1682.5,Automated Process or Synthetic
2023-05-11 00:00:00,12,0,Automated Process or Synthetic,13.5,No quality or non-verified,1696,Automated Process or Synthetic
2023-05-12 00:00:00,12,0,Automated Process or Synthetic,1.5,No quality or non-verified,1697.5,Automated Process or Synthetic
2023-05-13 00:00:00,12,0,Automated Process or Synthetic,,No data available,1697.5,Automated Process or Synthetic
2023-05-14 00:00:00,12,0,Automated Process or Synthetic,0.5,No quality or non-verified,1698,Automated Process or Synthetic
2023-05-15 00:00:00,12,0,Automated Process or Synthetic,7.5,No quality or non-verified,1705.5,Automated Process or Synthetic
2023-05-16 00:00:00,12,0,Automated Process or Synthetic,1,No quality or non-verified,1706.5,Automated Process or Synthetic
2023-05-17 00:00:00,12,0,Automated Process or Synthetic,,No data available,1706.5,Automated Process or Synthetic
2023-05-18 00:00:00,12,0,Automated Process or Synthetic,1.5,No quality or non-verified,1708,Automated Process or Synthetic
2023-05-19 00:00:00,12,0,Automated Process or Synthetic,16,No quality or non-verified,1724,Automated Process or Synthetic
2023-05-20 00:00:00,12,0,Automated Process or Synthetic,24,No quality or non-verified,1748,Automated Process or Synthetic
2023-05-21 00:00:00,12,0,Automated Process or Synthetic,2,No quality or non-verified,1750,Automated Process or Synthetic
2023-05-22 00:00:00,12,0,Automated Process or Synthetic,6.5,No quality or non-verified,1756.5,Automated Process or Synthetic
2023-05-23 00:00:00,12,0,Automated Process or Synthetic,3.5,No quality or non-verified,1760,Automated Process or Synthetic
2023-05-24 00:00:00,12,0,Automated Process or Synthetic,,No data available,1760,Automated Process or Synthetic
