,Date(NZST),Amount(mm),Deficit(mm),Runoff(mm),Period(Hrs),Freq
205,20090725:0900,0.2,0.1,0.0,24,0.0
206,20090726:0900,0.0,0.4,0.0,24,0.0
207,20090727:0900,0.0,0.7,0.0,24,0.0
208,20090728:0900,0.0,0.9,0.0,24,0.0
209,20090729:0900,9.8,0.0,8.6,24,0.0
210,20090730:0900,7.4,0.0,7.1,24,0.0
211,20090731:0900,5.2,0.0,4.9,24,0.0
212,20090801:0900,22.0,0.0,21.7,24,0.0
213,20090802:0900,6.0,0.0,5.2,24,0.0
214,20090803:0900,20.2,0.0,19.4,24,0.0
215,20090804:0900,8.8,0.0,8.0,24,0.0
216,20090805:0900,17.0,0.0,16.2,24,0.0
217,20090806:0900,5.4,0.0,4.6,24,0.0
218,20090807:0900,0.0,0.8,0.0,24,0.0
219,20090808:0900,0.0,1.6,0.0,24,0.0
220,20090809:0900,0.0,2.4,0.0,24,0.0
221,20090810:0900,0.0,3.2,0.0,24,0.0
222,20090811:0900,0.0,4.0,0.0,24,0.0
223,20090812:0900,0.4,4.3,0.0,24,0.0
224,20090813:0900,0.6,4.5,0.0,24,0.0
225,20090814:0900,0.6,4.7,0.0,24,0.0
226,20090815:0900,1.0,4.5,0.0,24,0.0
227,20090816:0900,3.8,1.5,0.0,24,0.0
228,20090817:0900,0.2,2.1,0.0,24,0.0
229,20090818:0900,0.0,2.9,0.0,24,0.0
230,20090819:0900,0.6,3.1,0.0,24,0.0
231,20090820:0900,0.0,3.9,0.0,24,0.0
232,20090821:0900,0.0,4.7,0.0,24,0.0
233,20090822:0900,0.0,5.4,0.0,24,0.0
234,20090823:0900,0.2,6.0,0.0,24,0.0
235,20090824:0900,2.2,4.6,0.0,24,0.0
236,20090825:0900,1.0,4.4,0.0,24,0.0
237,20090826:0900,48.2,0.0,43.0,24,0.0
238,20090827:0900,11.0,0.0,10.2,24,0.0
239,20090828:0900,13.6,0.0,12.8,24,0.0
240,20090829:0900,1.6,0.0,0.8,24,0.0
241,20090830:0900,0.0,0.8,0.0,24,0.0
242,20090831:0900,39.2,0.0,37.6,24,0.0
243,20090901:0900,9.6,0.0,8.8,24,0.0
244,20090902:0900,7.8,0.0,6.1,24,0.0
245,20090903:0900,7.6,0.0,5.9,24,0.0
246,20090904:0900,0.2,1.5,0.0,24,0.0
247,20090905:0900,0.0,3.2,0.0,24,0.0
248,20090906:0900,0.0,4.9,0.0,24,0.0
249,20090907:0900,0.0,6.5,0.0,24,0.0
250,20090908:0900,0.0,8.2,0.0,24,0.0
251,20090909:0900,0.0,9.9,0.0,24,0.0
252,20090910:0900,0.0,11.6,0.0,24,0.0
253,20090911:0900,17.6,0.0,4.3,24,0.0
254,20090912:0900,0.2,1.5,0.0,24,0.0
255,20090913:0900,0.0,3.2,0.0,24,0.0
256,20090914:0900,0.0,4.9,0.0,24,0.0
257,20090915:0900,0.0,6.5,0.0,24,0.0
258,20090916:0900,0.0,8.2,0.0,24,0.0
259,20090917:0900,0.0,9.9,0.0,24,0.0
260,20090918:0900,0.2,11.4,0.0,24,0.0
261,20090919:0900,7.2,5.9,0.0,24,0.0
262,20090920:0900,0.0,7.6,0.0,24,0.0
263,20090921:0900,0.0,9.3,0.0,24,0.0
264,20090922:0900,2.4,8.6,0.0,24,0.0
265,20090923:0900,3.4,6.8,0.0,24,0.0
266,20090924:0900,1.2,7.3,0.0,24,0.0
267,20090925:0900,3.2,5.8,0.0,24,0.0
268,20090926:0900,0.0,7.5,0.0,24,0.0
269,20090927:0800,0.0,9.2,0.0,24,0.0
270,20090928:0800,31.0,0.0,20.1,24,0.0
271,20090929:0800,2.6,0.0,0.9,24,0.0
