"site","base_temperature","period_start","period_end","p_value","slope","conf_low_90","conf_high_90","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon","region","unit","conf_low_66","conf_high_66"
"Masterton (Wellington)","5","1972","2022",2.700255794949239e-4,NA,NA,NA,3.4600619340028858,"Mann-Kendall",51,NA,427,15158.333333333334,0.3349019607843138,"greater","Very likely increasing",-40.957,175.707,"Wellington","Degree Celsius",NA,NA
"Milford Sound (Southland)","10","1972","2022",0.002474882026102366,NA,NA,NA,2.8102850449882593,"Mann-Kendall",51,NA,347,15158.333333333334,0.2721568627450981,"greater","Very likely increasing",-44.67384,167.92406,"Southland","Degree Celsius",NA,NA
"Milford Sound (Southland)","5","1972","2022",1.6532800018294726e-4,NA,NA,NA,3.590017311805811,"Mann-Kendall",51,NA,443,15158.333333333334,0.34745098039215694,"greater","Very likely increasing",-44.67384,167.92406,"Southland","Degree Celsius",NA,NA
"Napier (Hawke's Bay)","10","1972","2022",3.532119643460588e-4,NA,NA,NA,3.387073758990029,"Mann-Kendall",51,NA,418,15157.333333333334,0.327971778867565,"greater","Very likely increasing",-39.49846,176.91189,"Hawke's Bay","Degree Celsius",NA,NA
"Napier (Hawke's Bay)","5","1972","2022",4.521976340914529e-5,NA,NA,NA,3.914905756313124,"Mann-Kendall",51,NA,483,15158.333333333334,0.3788235294117648,"greater","Very likely increasing",-39.49846,176.91189,"Hawke's Bay","Degree Celsius",NA,NA
"Nelson (Nelson)","10","1972","2022",2.007346663180286e-7,NA,NA,NA,5.068259734314086,"Mann-Kendall",51,NA,625,15158.333333333334,0.49019607843137264,"greater","Very likely increasing",-41.299,173.226,"Nelson","Degree Celsius",NA,NA
"Nelson (Nelson)","5","1972","2022",1.826461624889827e-8,NA,NA,NA,5.506859134398959,"Mann-Kendall",51,NA,679,15158.333333333334,0.5325490196078432,"greater","Very likely increasing",-41.299,173.226,"Nelson","Degree Celsius",NA,NA
"New Plymouth (Taranaki)","10","1972","2022",2.181994132248571e-4,NA,NA,NA,3.5170334236035554,"Mann-Kendall",51,NA,434,15157.333333333334,0.3405257225562756,"greater","Very likely increasing",-39.0079,174.18382,"Taranaki","Degree Celsius",NA,NA
"New Plymouth (Taranaki)","5","1972","2022",7.200001626921322e-5,NA,NA,NA,3.8011948007355643,"Mann-Kendall",51,NA,469,15158.333333333334,0.36784313725490203,"greater","Very likely increasing",-39.0079,174.18382,"Taranaki","Degree Celsius",NA,NA
"Queenstown (Otago)","10","1972","2022",4.600843273210793e-4,NA,NA,NA,3.313862133974595,"Mann-Kendall",51,NA,409,15158.333333333334,0.32078431372549027,"greater","Very likely increasing",-45.01758,168.74005,"Otago","Degree Celsius",NA,NA
"Queenstown (Otago)","5","1972","2022",6.311923751634653e-5,NA,NA,NA,3.8336836451862957,"Mann-Kendall",51,NA,473,15158.333333333334,0.3709803921568628,"greater","Very likely increasing",-45.01758,168.74005,"Otago","Degree Celsius",NA,NA
"Reefton (West Coast)","10","1972","2022",1.9796768741587804e-5,NA,NA,NA,4.109838823017512,"Mann-Kendall",51,NA,507,15158.333333333334,0.39764705882352946,"greater","Very likely increasing",-42.11578,171.86014,"West Coast","Degree Celsius",NA,NA
"Reefton (West Coast)","5","1972","2022",3.672109533754401e-6,NA,NA,NA,4.483460534200922,"Mann-Kendall",51,NA,553,15158.333333333334,0.43372549019607853,"greater","Very likely increasing",-42.11578,171.86014,"West Coast","Degree Celsius",NA,NA
"Rotorua (Bay of Plenty)","10","1972","2022",0.014749516506372674,NA,NA,NA,2.1767525781989985,"Mann-Kendall",51,NA,269,15158.333333333334,0.2109803921568628,"greater","Very likely increasing",-38.10595,176.31485,"Bay of Plenty","Degree Celsius",NA,NA
"Rotorua (Bay of Plenty)","5","1972","2022",0.011720437798344889,NA,NA,NA,2.266171651698365,"Mann-Kendall",51,NA,280,15157.333333333334,0.2196940145524359,"greater","Very likely increasing",-38.10595,176.31485,"Bay of Plenty","Degree Celsius",NA,NA
"Tara Hills (Canterbury)","10","1972","2022",0.00865898894359042,NA,NA,NA,2.3798863582352,"Mann-Kendall",51,NA,294,15157.333333333334,0.23067871528005768,"greater","Very likely increasing",-44.52612,169.88948,"Canterbury","Degree Celsius",NA,NA
"Tara Hills (Canterbury)","5","1972","2022",3.8606720564799324e-4,NA,NA,NA,3.3625954006506915,"Mann-Kendall",51,NA,415,15158.333333333334,0.32549019607843144,"greater","Very likely increasing",-44.52612,169.88948,"Canterbury","Degree Celsius",NA,NA
"Taumarunui (Manawatū-Whanganui)","10","1972","2022",0.25269873939116105,NA,NA,NA,0.6660213112399921,"Mann-Kendall",51,NA,83,15158.333333333334,0.06509803921568628,"greater","Likely increasing",-38.88784,175.25981,"Manawatū-Whanganui","Degree Celsius",NA,NA
