"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Dannevirke (Manawatū-Whanganui)",1999,23,"1999-06-10","1999-09-28",-40.21,176.109
"Dunedin (Otago)",1999,1,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)",1999,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",1999,22,"1999-05-04","1999-10-06",-46.115,168.887
"Hamilton (Waikato)",1999,21,"1999-05-09","1999-09-28",-37.86088,175.33175
"Hokitika (West Coast)",1999,8,"1999-06-27","1999-08-23",-42.71228,170.98428
"Invercargill (Southland)",1999,27,"1999-04-13","1999-10-06",-46.41741,168.33052
"Kerikeri (Northland)",1999,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1999,88,"1999-04-11","1999-11-28",-44.002,170.441
"Masterton (Wellington)",1999,26,"1999-05-19","1999-09-28",-40.957,175.707
"Milford Sound (Southland)",1999,15,"1999-06-22","1999-08-23",-44.67384,167.92406
"Napier (Hawke's Bay)",1999,7,"1999-06-20","1999-08-19",-39.49846,176.91189
"Nelson (Nelson)",1999,11,"1999-06-20","1999-08-18",-41.299,173.226
"New Plymouth (Taranaki)",1999,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1999,66,"1999-05-04","1999-10-06",-45.01758,168.74005
"Reefton (West Coast)",1999,42,"1999-04-11","1999-10-15",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1999,20,"1999-05-21","1999-10-16",-38.10595,176.31485
"Tara Hills (Canterbury)",1999,104,"1999-04-10","1999-12-26",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1999,64,"1999-04-12","1999-10-17",-38.88784,175.25981
"Taupō (Waikato)",1999,55,"1999-04-12","1999-11-23",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1999,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1999,56,"1999-04-18","1999-10-15",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1999,75,"1999-04-12","1999-12-15",-39.46249,175.66283
"Wellington (Wellington)",1999,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1999,2,"1999-06-22","1999-07-10",-39.93704,175.04509
"Whangaparāoa (Auckland)",1999,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1999,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1998,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1998,30,"1998-05-14","1998-09-10",-41.52133,173.86439
"Christchurch (Canterbury)",1998,41,"1998-04-16","1998-10-24",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1998,13,"1998-05-05","1998-09-01",-40.21,176.109
"Dunedin (Otago)",1998,6,"1998-06-24","1998-08-15",-45.90129,170.5147
"Gisborne (Gisborne)",1998,2,"1998-06-22","1998-06-30",-38.6586,177.9851
"Gore (Southland)",1998,34,"1998-05-28","1998-11-27",-46.115,168.887
"Hamilton (Waikato)",1998,10,"1998-06-04","1998-09-05",-37.86088,175.33175
"Hokitika (West Coast)",1998,5,"1998-08-03","1998-09-04",-42.71228,170.98428
"Invercargill (Southland)",1998,36,"1998-04-17","1998-11-27",-46.41741,168.33052
"Kerikeri (Northland)",1998,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1998,85,"1998-01-10","1998-10-22",-44.002,170.441
"Masterton (Wellington)",1998,20,"1998-05-19","1998-09-14",-40.957,175.707
"Milford Sound (Southland)",1998,21,"1998-06-04","1998-09-09",-44.67384,167.92406
"Napier (Hawke's Bay)",1998,15,"1998-05-16","1998-09-01",-39.49846,176.91189
"Nelson (Nelson)",1998,5,"1998-06-20","1998-08-22",-41.299,173.226
"New Plymouth (Taranaki)",1998,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1998,79,"1998-05-05","1998-10-24",-45.01758,168.74005
"Reefton (West Coast)",1998,33,"1998-05-15","1998-09-04",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1998,15,"1998-05-16","1998-09-05",-38.10595,176.31485
"Tara Hills (Canterbury)",1998,89,"1998-04-05","1998-11-28",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1998,31,"1998-04-17","1998-09-14",-38.88784,175.25981
"Taupō (Waikato)",1998,38,"1998-05-05","1998-10-07",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1998,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1998,79,"1998-04-05","1998-10-24",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1998,48,"1998-01-10","1998-12-25",-39.46249,175.66283
"Wellington (Wellington)",1998,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1998,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1998,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1998,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1997,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1997,46,"1997-04-20","1997-10-07",-41.52133,173.86439
"Christchurch (Canterbury)",1997,61,"1997-04-17","1997-10-06",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1997,20,"1997-04-22","1997-09-14",-40.21,176.109
"Dunedin (Otago)",1997,2,"1997-07-16","1997-08-23",-45.90129,170.5147
"Gisborne (Gisborne)",1997,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",1997,29,"1997-05-29","1997-10-21",-46.115,168.887
"Hamilton (Waikato)",1997,18,"1997-06-16","1997-08-09",-37.86088,175.33175
"Hokitika (West Coast)",1997,19,"1997-06-19","1997-09-25",-42.71228,170.98428
"Invercargill (Southland)",1997,38,"1997-05-06","1997-10-21",-46.41741,168.33052
"Kerikeri (Northland)",1997,1,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1997,116,"1997-01-05","1997-12-11",-44.002,170.441
"Masterton (Wellington)",1997,27,"1997-06-08","1997-09-14",-40.957,175.707
"Milford Sound (Southland)",1997,39,"1997-06-07","1997-09-15",-44.67384,167.92406
"Napier (Hawke's Bay)",1997,11,"1997-06-08","1997-08-29",-39.49846,176.91189
"Nelson (Nelson)",1997,25,"1997-06-19","1997-08-22",-41.299,173.226
"New Plymouth (Taranaki)",1997,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1997,73,"1997-04-20","1997-11-11",-45.01758,168.74005
"Reefton (West Coast)",1997,58,"1997-04-20","1997-09-26",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1997,26,"1997-04-22","1997-09-14",-38.10595,176.31485
"Tara Hills (Canterbury)",1997,126,"1997-01-23","1997-11-11",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1997,59,"1997-04-22","1997-09-21",-38.88784,175.25981
"Taupō (Waikato)",1997,57,"1997-01-28","1997-10-27",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1997,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1997,81,"1997-04-17","1997-12-07",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1997,70,"1997-01-06","1997-11-30",-39.46249,175.66283
"Wellington (Wellington)",1997,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1997,3,"1997-07-16","1997-09-07",-39.93704,175.04509
"Whangaparāoa (Auckland)",1997,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1997,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1996,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1996,43,"1996-05-17","1996-11-02",-41.52133,173.86439
"Christchurch (Canterbury)",1996,52,"1996-04-23","1996-11-02",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1996,16,"1996-05-10","1996-11-03",-40.21,176.109
"Dunedin (Otago)",1996,14,"1996-06-02","1996-08-03",-45.90129,170.5147
"Gisborne (Gisborne)",1996,3,"1996-06-15","1996-09-01",-38.6586,177.9851
"Gore (Southland)",1996,40,"1996-05-18","1996-09-11",-46.115,168.887
"Hamilton (Waikato)",1996,16,"1996-06-03","1996-09-01",-37.86088,175.33175
"Hokitika (West Coast)",1996,17,"1996-05-26","1996-08-31",-42.71228,170.98428
"Invercargill (Southland)",1996,43,"1996-04-29","1996-11-01",-46.41741,168.33052
"Kerikeri (Northland)",1996,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1996,100,"1996-04-08","1996-11-28",-44.002,170.441
"Masterton (Wellington)",1996,17,"1996-05-10","1996-10-10",-40.957,175.707
"Milford Sound (Southland)",1996,36,"1996-06-02","1996-09-11",-44.67384,167.92406
"Napier (Hawke's Bay)",1996,11,"1996-06-15","1996-09-01",-39.49846,176.91189
"Nelson (Nelson)",1996,21,"1996-06-02","1996-08-31",-41.299,173.226
"New Plymouth (Taranaki)",1996,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1996,72,"1996-05-04","1996-09-30",-45.01758,168.74005
"Reefton (West Coast)",1996,50,"1996-05-17","1996-11-02",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1996,23,"1996-05-28","1996-09-01",-38.10595,176.31485
"Tara Hills (Canterbury)",1996,112,"1996-03-26","1996-12-16",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1996,46,"1996-05-02","1996-11-03",-38.88784,175.25981
"Taupō (Waikato)",1996,62,"1996-04-08","1996-11-06",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1996,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1996,73,"1996-04-23","1996-10-23",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1996,73,"1996-04-08","1996-12-08",-39.46249,175.66283
"Wellington (Wellington)",1996,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1996,3,"1996-06-20","1996-07-31",-39.93704,175.04509
"Whangaparāoa (Auckland)",1996,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1996,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1995,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1995,48,"1995-04-29","1995-11-22",-41.52133,173.86439
"Christchurch (Canterbury)",1995,52,"1995-05-10","1995-09-19",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1995,21,"1995-05-11","1995-09-12",-40.21,176.109
"Dunedin (Otago)",1995,11,"1995-07-01","1995-08-08",-45.90129,170.5147
"Gisborne (Gisborne)",1995,2,"1995-07-02","1995-08-16",-38.6586,177.9851
"Gore (Southland)",1995,34,"1995-04-29","1995-11-22",-46.115,168.887
"Hamilton (Waikato)",1995,16,"1995-05-11","1995-09-13",-37.86088,175.33175
"Hokitika (West Coast)",1995,14,"1995-06-04","1995-09-09",-42.71228,170.98428
"Invercargill (Southland)",1995,49,"1995-04-02","1995-11-22",-46.41741,168.33052
"Kerikeri (Northland)",1995,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1995,102,"1995-03-17","1995-11-22",-44.002,170.441
"Masterton (Wellington)",1995,17,"1995-05-28","1995-09-10",-40.957,175.707
"Milford Sound (Southland)",1995,60,"1995-05-01","1995-09-10",-44.67384,167.92406
"Napier (Hawke's Bay)",1995,8,"1995-05-11","1995-09-10",-39.49846,176.91189
"Nelson (Nelson)",1995,16,"1995-06-05","1995-08-02",-41.299,173.226
"New Plymouth (Taranaki)",1995,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1995,74,"1995-04-29","1995-11-22",-45.01758,168.74005
"Reefton (West Coast)",1995,38,"1995-05-10","1995-10-11",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1995,22,"1995-05-11","1995-09-13",-38.10595,176.31485
"Tara Hills (Canterbury)",1995,107,"1995-01-04","1995-11-28",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1995,48,"1995-04-30","1995-10-20",-38.88784,175.25981
"Taupō (Waikato)",1995,44,"1995-01-04","1995-11-16",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1995,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1995,80,"1995-05-02","1995-11-22",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1995,52,"1995-03-18","1995-11-22",-39.46249,175.66283
"Wellington (Wellington)",1995,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1995,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1995,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1995,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1994,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1994,44,"1994-03-25","1994-10-16",-41.52133,173.86439
"Christchurch (Canterbury)",1994,64,"1994-04-22","1994-10-19",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1994,17,"1994-06-05","1994-10-03",-40.21,176.109
"Dunedin (Otago)",1994,7,"1994-06-04","1994-08-10",-45.90129,170.5147
"Gisborne (Gisborne)",1994,5,"1994-07-03","1994-08-20",-38.6586,177.9851
"Gore (Southland)",1994,27,"1994-05-14","1994-10-03",-46.115,168.887
"Hamilton (Waikato)",1994,19,"1994-05-15","1994-10-03",-37.86088,175.33175
"Hokitika (West Coast)",1994,15,"1994-06-04","1994-08-10",-42.71228,170.98428
"Invercargill (Southland)",1994,29,"1994-04-26","1994-10-03",-46.41741,168.33052
"Kerikeri (Northland)",1994,2,"1994-06-03","1994-06-30",-35.183,173.926
"Lake Tekapo (Canterbury)",1994,116,"1994-03-08","1994-12-23",-44.002,170.441
"Masterton (Wellington)",1994,26,"1994-04-27","1994-10-03",-40.957,175.707
"Milford Sound (Southland)",1994,32,"1994-05-18","1994-09-23",-44.67384,167.92406
"Napier (Hawke's Bay)",1994,14,"1994-05-15","1994-09-10",-39.49846,176.91189
"Nelson (Nelson)",1994,14,"1994-06-01","1994-08-19",-41.299,173.226
"New Plymouth (Taranaki)",1994,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1994,60,"1994-04-24","1994-11-20",-45.01758,168.74005
"Reefton (West Coast)",1994,17,"1994-05-14","1994-08-19",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1994,23,"1994-04-25","1994-11-20",-38.10595,176.31485
"Tara Hills (Canterbury)",1994,105,"1994-03-08","1994-11-20",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1994,41,"1994-03-31","1994-11-20",-38.88784,175.25981
"Taupō (Waikato)",1994,39,"1994-03-25","1994-11-20",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1994,2,"1994-06-30","1994-08-11",-37.673,176.196
"Timaru (Canterbury)",1994,84,"1994-04-22","1994-11-20",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1994,58,"1994-03-23","1994-12-24",-39.46249,175.66283
"Wellington (Wellington)",1994,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1994,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1994,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1994,1,NA,NA,-35.769,174.364
"Auckland (Auckland)",1993,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1993,50,"1993-04-22","1993-11-15",-41.52133,173.86439
"Christchurch (Canterbury)",1993,45,"1993-05-03","1993-09-28",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1993,18,"1993-07-01","1993-09-29",-40.21,176.109
"Dunedin (Otago)",1993,7,"1993-06-24","1993-08-29",-45.90129,170.5147
"Gisborne (Gisborne)",1993,2,"1993-07-03","1993-07-28",-38.6586,177.9851
"Gore (Southland)",1993,34,"1993-04-14","1993-11-22",-46.115,168.887
"Hamilton (Waikato)",1993,20,"1993-03-23","1993-09-25",-37.86088,175.33175
"Hokitika (West Coast)",1993,17,"1993-03-22","1993-09-07",-42.71228,170.98428
"Invercargill (Southland)",1993,42,"1993-04-14","1993-12-04",-46.41741,168.33052
"Kerikeri (Northland)",1993,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1993,100.01785714285714,"1993-02-02","1993-11-23",-44.002,170.441
"Masterton (Wellington)",1993,32,"1993-05-31","1993-09-29",-40.957,175.707
"Milford Sound (Southland)",1993,25,"1993-06-30","1993-09-28",-44.67384,167.92406
"Napier (Hawke's Bay)",1993,9,"1993-07-03","1993-09-29",-39.49846,176.91189
"Nelson (Nelson)",1993,16,"1993-06-29","1993-09-06",-41.299,173.226
"New Plymouth (Taranaki)",1993,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1993,71,"1993-04-15","1993-11-02",-45.01758,168.74005
"Reefton (West Coast)",1993,33,"1993-05-28","1993-11-03",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1993,28,"1993-03-23","1993-09-28",-38.10595,176.31485
"Tara Hills (Canterbury)",1993,99,"1993-03-18","1993-12-04",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1993,46,"1993-03-23","1993-11-15",-38.88784,175.25981
"Taupō (Waikato)",1993,58.00892857142857,"1993-02-16","1993-11-15",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1993,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1993,77,"1993-04-15","1993-11-23",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1993,68.00892857142857,"1993-01-28","1993-11-30",-39.46249,175.66283
"Wellington (Wellington)",1993,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1993,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1993,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1993,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1992,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1992,56,"1992-03-23","1992-10-16",-41.52133,173.86439
"Christchurch (Canterbury)",1992,54,"1992-04-20","1992-09-13",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1992,21,"1992-03-24","1992-10-05",-40.21,176.109
"Dunedin (Otago)",1992,19,"1992-05-30","1992-09-06",-45.90129,170.5147
"Gisborne (Gisborne)",1992,6,"1992-06-02","1992-08-19",-38.6586,177.9851
"Gore (Southland)",1992,49,"1992-04-21","1992-10-16",-46.115,168.887
"Hamilton (Waikato)",1992,22,"1992-04-06","1992-09-13",-37.86088,175.33175
"Hokitika (West Coast)",1992,20,"1992-05-09","1992-08-30",-42.71228,170.98428
"Invercargill (Southland)",1992,61,"1992-04-06","1992-10-16",-46.41741,168.33052
"Kerikeri (Northland)",1992,5,"1992-06-11","1992-08-31",-35.183,173.926
"Lake Tekapo (Canterbury)",1992,125.97413793103448,"1992-02-29","1992-12-13",-44.002,170.441
"Masterton (Wellington)",1992,19,"1992-04-23","1992-09-13",-40.957,175.707
"Milford Sound (Southland)",1992,48,"1992-05-11","1992-09-13",-44.67384,167.92406
"Napier (Hawke's Bay)",1992,17,"1992-05-23","1992-09-13",-39.49846,176.91189
"Nelson (Nelson)",1992,22,"1992-05-30","1992-08-24",-41.299,173.226
"New Plymouth (Taranaki)",1992,2,"1992-06-01","1992-08-24",-39.0079,174.18382
"Queenstown (Otago)",1992,95,"1992-04-05","1992-10-16",-45.01758,168.74005
"Reefton (West Coast)",1992,53,"1992-03-23","1992-10-17",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1992,21,"1992-04-23","1992-12-20",-38.10595,176.31485
"Tara Hills (Canterbury)",1992,126,"1992-03-18","1992-10-16",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1992,49,"1992-03-01","1992-10-05",-38.88784,175.25981
"Taupō (Waikato)",1992,61,"1992-03-24","1992-12-22",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1992,5,"1992-06-02","1992-09-13",-37.673,176.196
"Timaru (Canterbury)",1992,75,"1992-03-13","1992-10-16",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1992,86,"1992-03-01","1992-12-22",-39.46249,175.66283
"Wellington (Wellington)",1992,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1992,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1992,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1992,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1991,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1991,37,"1991-04-22","1991-10-14",-41.52133,173.86439
"Christchurch (Canterbury)",1991,52,"1991-04-22","1991-10-30",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1991,14,"1991-04-22","1991-08-03",-40.21,176.109
"Dunedin (Otago)",1991,15,"1991-06-16","1991-07-26",-45.90129,170.5147
"Gisborne (Gisborne)",1991,3,"1991-06-22","1991-07-08",-38.6586,177.9851
"Gore (Southland)",1991,28,"1991-06-08","1991-07-26",-46.115,168.887
"Hamilton (Waikato)",1991,15,"1991-06-08","1991-09-06",-37.86088,175.33175
"Hokitika (West Coast)",1991,12,"1991-06-21","1991-08-19",-42.71228,170.98428
"Invercargill (Southland)",1991,34,"1991-05-01","1991-11-04",-46.41741,168.33052
"Kerikeri (Northland)",1991,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1991,94,"1991-04-21","1991-12-04",-44.002,170.441
"Masterton (Wellington)",1991,19,"1991-05-15","1991-11-27",-40.957,175.707
"Milford Sound (Southland)",1991,41,"1991-06-02","1991-08-22",-44.67384,167.92406
"Napier (Hawke's Bay)",1991,11,"1991-06-04","1991-08-19",-39.49846,176.91189
"Nelson (Nelson)",1991,21,"1991-06-09","1991-08-04",-41.299,173.226
"New Plymouth (Taranaki)",1991,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1991,68,"1991-04-21","1991-10-02",-45.01758,168.74005
"Reefton (West Coast)",1991,23,"1991-06-09","1991-07-17",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1991,19,"1991-04-22","1991-07-29",-38.10595,176.31485
"Tara Hills (Canterbury)",1991,106,"1991-03-06","1991-12-04",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1991,38,"1991-04-22","1991-10-04",-38.88784,175.25981
"Taupō (Waikato)",1991,44,"1991-04-14","1991-12-17",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1991,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1991,72,"1991-05-01","1991-11-27",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1991,50,"1991-01-01","1991-12-17",-39.46249,175.66283
"Wellington (Wellington)",1991,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1991,3,"1991-07-05","1991-07-14",-39.93704,175.04509
"Whangaparāoa (Auckland)",1991,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1991,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1990,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1990,27,"1990-04-19","1990-10-02",-41.52133,173.86439
"Christchurch (Canterbury)",1990,41,"1990-03-24","1990-10-01",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1990,10,"1990-04-23","1990-10-08",-40.21,176.109
"Dunedin (Otago)",1990,6,"1990-06-14","1990-08-10",-45.90129,170.5147
"Gisborne (Gisborne)",1990,4,"1990-07-21","1990-08-02",-38.6586,177.9851
"Gore (Southland)",1990,28,"1990-03-24","1990-10-01",-46.115,168.887
"Hamilton (Waikato)",1990,14,"1990-05-10","1990-09-28",-37.86088,175.33175
"Hokitika (West Coast)",1990,11,"1990-04-22","1990-09-10",-42.71228,170.98428
"Invercargill (Southland)",1990,30,"1990-03-23","1990-10-04",-46.41741,168.33052
"Kerikeri (Northland)",1990,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1990,82,"1990-03-24","1990-10-17",-44.002,170.441
"Masterton (Wellington)",1990,7,"1990-05-10","1990-09-07",-40.957,175.707
"Milford Sound (Southland)",1990,40,"1990-06-08","1990-09-11",-44.67384,167.92406
"Napier (Hawke's Bay)",1990,5,"1990-06-18","1990-08-04",-39.49846,176.91189
"Nelson (Nelson)",1990,14,"1990-04-22","1990-09-10",-41.299,173.226
"New Plymouth (Taranaki)",1990,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1990,58,"1990-03-23","1990-11-06",-45.01758,168.74005
"Reefton (West Coast)",1990,39,"1990-04-22","1990-10-02",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1990,13,"1990-06-08","1990-09-10",-38.10595,176.31485
"Tara Hills (Canterbury)",1990,101,"1990-03-23","1990-12-05",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1990,40,"1990-03-24","1990-10-08",-38.88784,175.25981
"Taupō (Waikato)",1990,42,"1990-04-19","1990-10-08",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1990,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1990,56,"1990-04-19","1990-10-02",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1990,54,"1990-03-27","1990-11-06",-39.46249,175.66283
"Wellington (Wellington)",1990,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1990,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1990,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1990,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1989,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1989,37,"1989-05-28","1989-09-24",-41.52133,173.86439
"Christchurch (Canterbury)",1989,29,"1989-05-31","1989-09-23",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1989,19,"1989-06-01","1989-10-20",-40.21,176.109
"Dunedin (Otago)",1989,3,"1989-06-30","1989-09-02",-45.90129,170.5147
"Gisborne (Gisborne)",1989,2,"1989-07-25","1989-07-26",-38.6586,177.9851
"Gore (Southland)",1989,40,"1989-04-12","1989-10-06",-46.115,168.887
"Hamilton (Waikato)",1989,33,"1989-05-10","1989-09-03",-37.86088,175.33175
"Hokitika (West Coast)",1989,23,"1989-05-09","1989-08-19",-42.71228,170.98428
"Invercargill (Southland)",1989,43,"1989-04-12","1989-11-21",-46.41741,168.33052
"Kerikeri (Northland)",1989,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1989,90,"1989-04-12","1989-11-21",-44.002,170.441
"Masterton (Wellington)",1989,18,"1989-06-06","1989-09-03",-40.957,175.707
"Milford Sound (Southland)",1989,44,"1989-05-10","1989-09-05",-44.67384,167.92406
"Napier (Hawke's Bay)",1989,9,"1989-06-07","1989-09-03",-39.49846,176.91189
"Nelson (Nelson)",1989,24,"1989-05-30","1989-08-16",-41.299,173.226
"New Plymouth (Taranaki)",1989,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1989,84,"1989-04-12","1989-09-06",-45.01758,168.74005
"Reefton (West Coast)",1989,63,"1989-04-12","1989-10-19",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1989,23,"1989-06-06","1989-09-03",-38.10595,176.31485
"Tara Hills (Canterbury)",1989,97,"1989-04-12","1989-11-16",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1989,62,"1989-04-13","1989-10-19",-38.88784,175.25981
"Taupō (Waikato)",1989,51,"1989-04-13","1989-09-24",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1989,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1989,48,"1989-05-09","1989-10-06",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1989,59,"1989-04-13","1989-12-19",-39.46249,175.66283
"Wellington (Wellington)",1989,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1989,3,"1989-07-02","1989-08-21",-39.93704,175.04509
"Whangaparāoa (Auckland)",1989,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1989,1,NA,NA,-35.769,174.364
"Auckland (Auckland)",1988,0,NA,NA,-37.00813,174.78873
