"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Dannevirke (Manawatū-Whanganui)",1983,12,"1983-04-29","1983-09-16",-40.21,176.109
"Dunedin (Otago)",1983,0,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)",1983,9,"1983-05-19","1983-07-29",-38.6586,177.9851
"Gore (Southland)",1983,42,"1983-04-04","1983-10-14",-46.115,168.887
"Hamilton (Waikato)",1983,26,"1983-05-14","1983-09-16",-37.86088,175.33175
"Hokitika (West Coast)",1983,17,"1983-05-13","1983-08-25",-42.71228,170.98428
"Invercargill (Southland)",1983,36,"1983-04-04","1983-10-15",-46.41741,168.33052
"Kerikeri (Northland)",1983,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1983,96,"1983-03-17","1983-10-15",-44.002,170.441
"Masterton (Wellington)",1983,18,"1983-06-03","1983-09-17",-40.957,175.707
"Milford Sound (Southland)",1983,49,"1983-05-23","1983-09-16",-44.67384,167.92406
"Napier (Hawke's Bay)",1983,14,"1983-06-04","1983-09-17",-39.49846,176.91189
"Nelson (Nelson)",1983,25,"1983-06-03","1983-08-25",-41.299,173.226
"New Plymouth (Taranaki)",1983,3,"1983-06-03","1983-07-26",-39.0079,174.18382
"Queenstown (Otago)",1983,81,"1983-03-17","1983-10-05",-45.01758,168.74005
"Reefton (West Coast)",1983,52,"1983-03-17","1983-11-21",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1983,21,"1983-05-25","1983-09-05",-38.10595,176.31485
"Tara Hills (Canterbury)",1983,129,"1983-03-17","1983-12-28",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1983,47,"1983-04-11","1983-10-18",-38.88784,175.25981
"Taupō (Waikato)",1983,48,"1983-03-04","1983-10-15",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1983,1,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1983,60,"1983-03-30","1983-10-15",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1983,57,"1983-04-11","1983-12-21",-39.46249,175.66283
"Wellington (Wellington)",1983,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1983,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1983,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1983,1,NA,NA,-35.769,174.364
"Auckland (Auckland)",1982,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1982,41,"1982-05-05","1982-10-26",-41.52133,173.86439
"Christchurch (Canterbury)",1982,59,"1982-04-25","1982-10-12",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1982,20,"1982-05-29","1982-09-03",-40.21,176.109
"Dunedin (Otago)",1982,10,"1982-06-15","1982-08-26",-45.90129,170.5147
"Gisborne (Gisborne)",1982,7,"1982-07-08","1982-09-18",-38.6586,177.9851
"Gore (Southland)",1982,49,"1982-04-09","1982-10-19",-46.115,168.887
