"site","season","trend_likelihood","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","intercept","r_squared","sigma","trend_method","n","note","s","var_s","tau","z","alternative","lat","lon"
"Wellington (Wellington)","Autumn",NA,"1960-03-01","2022-05-31",0.5994908633056679,-0.3587269585253429,-1.4764853000603793,0.7590313830096933,0.9,333.89672299027114,0.004547549032438237,98.08128481031679,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)","Autumn",NA,"1960-03-01","2022-05-31",0.07032186204700346,0.7889544930875575,0.08448053472662731,1.4934284514484877,0.9,192.1915514592934,0.05269719768951704,61.81632324618516,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)","Autumn",NA,"1960-03-01","2022-05-31",0.9512850523026626,0.04516609062980058,-1.1658808705201207,1.2562130517797219,0.9,265.9610343061956,6.168803290565602e-5,106.26719345443675,"Linear model",63,NA,NA,NA,NA,NA,NA,-36.606,174.835
"Whangārei (Northland)","Autumn",NA,"1960-03-01","2022-05-31",0.20500872423685976,-1.3133016513056817,-2.9995044999319695,0.372901197320606,0.9,392.5320020481308,0.02620014691686797,147.96126828000808,"Linear model",63,NA,NA,NA,NA,NA,NA,-35.769,174.364
"Auckland (Auckland)","Winter",NA,"1960-06-01","2022-08-31",0.9698491057164889,-0.024284754224269775,-1.0767676756273836,1.0281981671788443,0.9,366.94695340501784,2.3613030817365115e-5,92.35348405485136,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)","Winter",NA,"1960-06-01","2022-08-31",0.1293919342308492,0.8269441244239629,-0.05785701276799693,1.7117452616159228,0.9,183.8965181771634,0.03729733819327157,77.63970897165215,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Christchurch (Canterbury)","Winter",NA,"1960-06-01","2022-08-31",0.3997456079893593,0.46708909370199647,-0.43890231831185544,1.3730805057158484,0.9,173.36267281105992,0.011651612383064554,79.4991174884883,"Linear model",63,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","Winter",NA,"1960-06-01","2022-08-31",0.11562308446948973,-0.7995151689708148,-1.6234250711584595,0.024394733216829945,0.9,310.03051715309783,0.0400911616223695,72.29661257864441,"Linear model",63,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dunedin (Otago)","Winter",NA,"1960-06-01","2022-08-31",0.8332732916003784,-0.09280913978494545,-0.8149063620743026,0.6292880825044117,0.9,170.7921146953404,7.32144394785546e-4,63.362732970381565,"Linear model",63,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)","Winter",NA,"1960-06-01","2022-08-31",0.48045259343223357,-0.504272273425499,-1.6726323202693225,0.6640877734183246,0.9,347.1605222734255,0.008194603228935638,102.5214934724709,"Linear model",63,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
