"site","season","precipitation","precipitation_units","period_start","period_end","lat","lon","anomaly_1961","anomaly_1991"
"Dannevirke (Manawatū-Whanganui)","Winter",336.1,"mm","1964-06-01","1964-08-31",-40.21,176.109,40,64.3
"Dunedin (Otago)","Winter",80.3,"mm","1964-06-01","1964-08-31",-45.90129,170.5147,-91.3,-79.1
"Gisborne (Gisborne)","Winter",277.2,"mm","1964-06-01","1964-08-31",-38.6586,177.9851,-71.2,-40.3
"Gore (Southland)","Winter",147.9,"mm","1964-06-01","1964-08-31",-46.115,168.887,-37.4,-46.8
"Hamilton (Waikato)","Winter",354.1,"mm","1964-06-01","1964-08-31",-37.86088,175.33175,-18.6,-27.3
"Hokitika (West Coast)","Winter",771.1,"mm","1964-06-01","1964-08-31",-42.71228,170.98428,99.1,38.6
"Invercargill (Southland)","Winter",246.7,"mm","1964-06-01","1964-08-31",-46.41741,168.33052,13,-25.9
"Kerikeri (Northland)","Winter",566.5,"mm","1964-06-01","1964-08-31",-35.183,173.926,0.9,15.8
"Lake Tekapo (Canterbury)","Winter",123.5,"mm","1964-06-01","1964-08-31",-44.002,170.441,-46.3,-37.4
"Masterton (Wellington)","Winter",257.2,"mm","1964-06-01","1964-08-31",-40.957,175.707,-8.8,-12.3
"Milford Sound (Southland)","Winter",1062.7,"mm","1964-06-01","1964-08-31",-44.67384,167.92406,-38.7,-220.1
"Napier (Hawke's Bay)","Winter",203.5,"mm","1964-06-01","1964-08-31",-39.49846,176.91189,-32.2,-29.8
"Nelson (Nelson)","Winter",262.7,"mm","1964-06-01","1964-08-31",-41.299,173.226,17.1,15.8
"New Plymouth (Taranaki)","Winter",567.1,"mm","1964-06-01","1964-08-31",-39.0079,174.18382,110.6,152.3
"Queenstown (Otago)","Winter",111,"mm","1964-06-01","1964-08-31",-45.01758,168.74005,-42,-64.5
"Reefton (West Coast)","Winter",636.3,"mm","1964-06-01","1964-08-31",-42.11578,171.86014,111.7,99.5
"Rotorua (Bay of Plenty)","Winter",439.2,"mm","1964-06-01","1964-08-31",-38.10595,176.31485,27.3,46.9
"Tara Hills (Canterbury)","Winter",76.5,"mm","1964-06-01","1964-08-31",-44.52612,169.88948,-40.8,-45.5
"Taumarunui (Manawatū-Whanganui)","Winter",522.9,"mm","1964-06-01","1964-08-31",-38.88784,175.25981,136,91.3
"Taupō (Waikato)","Winter",328.4,"mm","1964-06-01","1964-08-31",-38.74263,176.08104,68.1,47.3
"Tauranga (Bay of Plenty)","Winter",465,"mm","1964-06-01","1964-08-31",-37.673,176.196,76.6,103.4
"Timaru (Canterbury)","Winter",61.8,"mm","1964-06-01","1964-08-31",-44.30517,171.22141,-55.2,-69.2
"Waiouru (Manawatū-Whanganui)","Winter",361.6,"mm","1964-06-01","1964-08-31",-39.46249,175.66283,63.2,17.3
"Wellington (Wellington)","Winter",466.2,"mm","1964-06-01","1964-08-31",-41.285,174.768,25.9,63
"Whanganui (Manawatū-Whanganui)","Winter",295.6,"mm","1964-06-01","1964-08-31",-39.93704,175.04509,54.8,34.1
"Whangaparāoa (Auckland)","Winter",456.29999999999995,"mm","1964-06-01","1964-08-31",-36.606,174.835,90.4,130.2
"Whangārei (Northland)","Winter",489.5,"mm","1964-06-01","1964-08-31",-35.769,174.364,3.6,41.5
"Auckland (Auckland)","Autumn",247.9,"mm","1964-03-01","1964-05-31",-37.00813,174.78873,-26.7,-30.9
"Blenheim (Marlborough)","Autumn",111.9,"mm","1964-03-01","1964-05-31",-41.52133,173.86439,-72,-56.5
"Christchurch (Canterbury)","Autumn",178.6,"mm","1964-03-01","1964-05-31",-43.493,172.537,10.4,17.8
"Dannevirke (Manawatū-Whanganui)","Autumn",132.6,"mm","1964-03-01","1964-05-31",-40.21,176.109,-126.6,-100.8
"Dunedin (Otago)","Autumn",174.7,"mm","1964-03-01","1964-05-31",-45.90129,170.5147,-11.5,3.1
"Gisborne (Gisborne)","Autumn",186.3,"mm","1964-03-01","1964-05-31",-38.6586,177.9851,-79.9,-117.2
"Gore (Southland)","Autumn",265.79999999999995,"mm","1964-03-01","1964-05-31",-46.115,168.887,13.8,32.1
"Hamilton (Waikato)","Autumn",250.9,"mm","1964-03-01","1964-05-31",-37.86088,175.33175,-28,-38.4
"Hokitika (West Coast)","Autumn",738.9,"mm","1964-03-01","1964-05-31",-42.71228,170.98428,37.1,27
"Invercargill (Southland)","Autumn",400.79999999999995,"mm","1964-03-01","1964-05-31",-46.41741,168.33052,90.4,111.9
"Kerikeri (Northland)","Autumn",326,"mm","1964-03-01","1964-05-31",-35.183,173.926,-72.6,-101.1
"Lake Tekapo (Canterbury)","Autumn",197.5,"mm","1964-03-01","1964-05-31",-44.002,170.441,46,39.9
"Masterton (Wellington)","Autumn",105.1,"mm","1964-03-01","1964-05-31",-40.957,175.707,-101.1,-103.1
"Milford Sound (Southland)","Autumn",1448.1,"mm","1964-03-01","1964-05-31",-44.67384,167.92406,-188.8,-167.3
"Napier (Hawke's Bay)","Autumn",96,"mm","1964-03-01","1964-05-31",-39.49846,176.91189,-108.2,-99.2
"Nelson (Nelson)","Autumn",186.3,"mm","1964-03-01","1964-05-31",-41.299,173.226,-61.3,-42.9
"New Plymouth (Taranaki)","Autumn",283,"mm","1964-03-01","1964-05-31",-39.0079,174.18382,-89.4,-74
"Queenstown (Otago)","Autumn",229.1,"mm","1964-03-01","1964-05-31",-45.01758,168.74005,42,51.3
"Reefton (West Coast)","Autumn",481.9,"mm","1964-03-01","1964-05-31",-42.11578,171.86014,2.7,51.2
"Rotorua (Bay of Plenty)","Autumn",229.4,"mm","1964-03-01","1964-05-31",-38.10595,176.31485,-113.4,-135.7
"Tara Hills (Canterbury)","Autumn",171.79999999999998,"mm","1964-03-01","1964-05-31",-44.52612,169.88948,25.1,50.5
"Taumarunui (Manawatū-Whanganui)","Autumn",283.1,"mm","1964-03-01","1964-05-31",-38.88784,175.25981,-20.7,-47.7
"Taupō (Waikato)","Autumn",139,"mm","1964-03-01","1964-05-31",-38.74263,176.08104,-71,-83.5
"Tauranga (Bay of Plenty)","Autumn",280.1,"mm","1964-03-01","1964-05-31",-37.673,176.196,-65.7,-70.8
"Timaru (Canterbury)","Autumn",160.9,"mm","1964-03-01","1964-05-31",-44.30517,171.22141,13.3,32.4
"Waiouru (Manawatū-Whanganui)","Autumn",134.1,"mm","1964-03-01","1964-05-31",-39.46249,175.66283,-110.6,-121
"Wellington (Wellington)","Autumn",248.5,"mm","1964-03-01","1964-05-31",-41.285,174.768,-93.9,-62.7
"Whanganui (Manawatū-Whanganui)","Autumn",126.8,"mm","1964-03-01","1964-05-31",-39.93704,175.04509,-84.2,-97.5
"Whangaparāoa (Auckland)","Autumn",210.8,"mm","1964-03-01","1964-05-31",-36.606,174.835,-55.3,-63.4
"Whangārei (Northland)","Autumn",274.6,"mm","1964-03-01","1964-05-31",-35.769,174.364,-97.8,-44.8
"Auckland (Auckland)","Annual",1230.3999999999999,"mm","1964-01-01","1964-12-31",-37.00813,174.78873,100.5,130.7
"Blenheim (Marlborough)","Annual",633.2,"mm","1964-01-01","1964-12-31",-41.52133,173.86439,-61.4,-72.4
"Christchurch (Canterbury)","Annual",433.2,"mm","1964-01-01","1964-12-31",-43.493,172.537,-182.6,-185
"Dannevirke (Manawatū-Whanganui)","Annual",1011.5,"mm","1964-01-01","1964-12-31",-40.21,176.109,-18,2.5
"Dunedin (Otago)","Annual",524.1,"mm","1964-01-01","1964-12-31",-45.90129,170.5147,-162.9,-175.9
"Gisborne (Gisborne)","Annual",730.7,"mm","1964-01-01","1964-12-31",-38.6586,177.9851,-290.9,-289.5
"Gore (Southland)","Annual",798.4,"mm","1964-01-01","1964-12-31",-46.115,168.887,-103.8,-140
"Hamilton (Waikato)","Annual",1249.4,"mm","1964-01-01","1964-12-31",-37.86088,175.33175,30.2,28.9
"Hokitika (West Coast)","Annual",3079.8,"mm","1964-01-01","1964-12-31",-42.71228,170.98428,255.5,173.8
"Invercargill (Southland)","Annual",1068.1,"mm","1964-01-01","1964-12-31",-46.41741,168.33052,-13.5,-61.4
"Kerikeri (Northland)","Annual",1513.2,"mm","1964-01-01","1964-12-31",-35.183,173.926,-116.2,-130.8
"Lake Tekapo (Canterbury)","Annual",520.1,"mm","1964-01-01","1964-12-31",-44.002,170.441,-77.7,-79.2
"Masterton (Wellington)","Annual",662.4,"mm","1964-01-01","1964-12-31",-40.957,175.707,-145.9,-192.2
"Milford Sound (Southland)","Annual",5319.1,"mm","1964-01-01","1964-12-31",-44.67384,167.92406,-640.7,-886
"Napier (Hawke's Bay)","Annual",524.9,"mm","1964-01-01","1964-12-31",-39.49846,176.91189,-229.9,-227.3
"Nelson (Nelson)","Annual",979.8,"mm","1964-01-01","1964-12-31",-41.299,173.226,60,59.3
"New Plymouth (Taranaki)","Annual",1678.5,"mm","1964-01-01","1964-12-31",-39.0079,174.18382,180.2,264.2
"Queenstown (Otago)","Annual",644.1,"mm","1964-01-01","1964-12-31",-45.01758,168.74005,-29,-81.8
"Reefton (West Coast)","Annual",2308.9,"mm","1964-01-01","1964-12-31",-42.11578,171.86014,321.2,416.3
"Rotorua (Bay of Plenty)","Annual",1375.1,"mm","1964-01-01","1964-12-31",-38.10595,176.31485,-67.8,28.6
"Tara Hills (Canterbury)","Annual",446.59999999999997,"mm","1964-01-01","1964-12-31",-44.52612,169.88948,-104,-66.6
"Taumarunui (Manawatū-Whanganui)","Annual",1638.8,"mm","1964-01-01","1964-12-31",-38.88784,175.25981,265.2,158.9
"Taupō (Waikato)","Annual",910.7,"mm","1964-01-01","1964-12-31",-38.74263,176.08104,-24.6,-36.1
"Tauranga (Bay of Plenty)","Annual",1203.1,"mm","1964-01-01","1964-12-31",-37.673,176.196,-114.7,-1.1
"Timaru (Canterbury)","Annual",405,"mm","1964-01-01","1964-12-31",-44.30517,171.22141,-124.7,-143.4
"Waiouru (Manawatū-Whanganui)","Annual",977.9,"mm","1964-01-01","1964-12-31",-39.46249,175.66283,-62.6,-160.9
"Wellington (Wellington)","Annual",1237.9,"mm","1964-01-01","1964-12-31",-41.285,174.768,-102.2,-57.6
"Whanganui (Manawatū-Whanganui)","Annual",894,"mm","1964-01-01","1964-12-31",-39.93704,175.04509,34.9,-46.6
"Whangaparāoa (Auckland)","Annual",1146.8,"mm","1964-01-01","1964-12-31",-36.606,174.835,30.9,120.3
"Whangārei (Northland)","Annual",1235.4,"mm","1964-01-01","1964-12-31",-35.769,174.364,-242.5,-47.7
"Auckland (Auckland)","Summer",171.6,"mm","1963-12-01","1964-02-29",-37.00813,174.78873,-69.7,-28.2
"Blenheim (Marlborough)","Summer",140,"mm","1963-12-01","1964-02-29",-41.52133,173.86439,-2,-8.9
"Christchurch (Canterbury)","Summer",136.20000000000002,"mm","1963-12-01","1964-02-29",-43.493,172.537,1.6,7
"Dannevirke (Manawatū-Whanganui)","Summer",190.1,"mm","1963-12-01","1964-02-29",-40.21,176.109,-45.5,-34.3
"Dunedin (Otago)","Summer",173.20000000000002,"mm","1963-12-01","1964-02-29",-45.90129,170.5147,-2.3,-30.7
"Gisborne (Gisborne)","Summer",121.89999999999999,"mm","1963-12-01","1964-02-29",-38.6586,177.9851,-80.7,-79.5
"Gore (Southland)","Summer",182.3,"mm","1963-12-01","1964-02-29",-46.115,168.887,-68.4,-88.7
"Hamilton (Waikato)","Summer",204.6,"mm","1963-12-01","1964-02-29",-37.86088,175.33175,-63.1,-45.8
"Hokitika (West Coast)","Summer",772.5,"mm","1963-12-01","1964-02-29",-42.71228,170.98428,119,58.3
"Invercargill (Southland)","Summer",214.39999999999998,"mm","1963-12-01","1964-02-29",-46.41741,168.33052,-65,-67.4
"Kerikeri (Northland)","Summer",174.1,"mm","1963-12-01","1964-02-29",-35.183,173.926,-125.4,-154.9
"Lake Tekapo (Canterbury)","Summer",72.39999999999999,"mm","1963-12-01","1964-02-29",-44.002,170.441,-53.4,-60.8
"Masterton (Wellington)","Summer",83.8,"mm","1963-12-01","1964-02-29",-40.957,175.707,-71.5,-77.2
"Milford Sound (Southland)","Summer",1324.3,"mm","1963-12-01","1964-02-29",-44.67384,167.92406,-262.7,-375.1
"Napier (Hawke's Bay)","Summer",114.5,"mm","1963-12-01","1964-02-29",-39.49846,176.91189,-49.7,-43.1
"Nelson (Nelson)","Summer",225.1,"mm","1963-12-01","1964-02-29",-41.299,173.226,31.1,9.9
"New Plymouth (Taranaki)","Summer",331.9,"mm","1963-12-01","1964-02-29",-39.0079,174.18382,16,44
"Queenstown (Otago)","Summer",74.7,"mm","1963-12-01","1964-02-29",-45.01758,168.74005,-78.8,-114.9
"Reefton (West Coast)","Summer",443.8,"mm","1963-12-01","1964-02-29",-42.11578,171.86014,23.3,34.4
"Rotorua (Bay of Plenty)","Summer",294.9,"mm","1963-12-01","1964-02-29",-38.10595,176.31485,-51.6,-11.5
"Tara Hills (Canterbury)","Summer",39.300000000000004,"mm","1963-12-01","1964-02-29",-44.52612,169.88948,-109.2,-106.1
"Taumarunui (Manawatū-Whanganui)","Summer",260,"mm","1963-12-01","1964-02-29",-38.88784,175.25981,-47.3,-54.8
"Taupō (Waikato)","Summer",170.8,"mm","1963-12-01","1964-02-29",-38.74263,176.08104,-67.2,-54.2
"Tauranga (Bay of Plenty)","Summer",297.59999999999997,"mm","1963-12-01","1964-02-29",-37.673,176.196,7.5,39
"Timaru (Canterbury)","Summer",78.3,"mm","1963-12-01","1964-02-29",-44.30517,171.22141,-61.6,-72.7
"Waiouru (Manawatū-Whanganui)","Summer",153.39999999999998,"mm","1963-12-01","1964-02-29",-39.46249,175.66283,-91.2,-83.5
"Wellington (Wellington)","Summer",142.1,"mm","1963-12-01","1964-02-29",-41.285,174.768,-101.2,-104.2
"Whanganui (Manawatū-Whanganui)","Summer",166.1,"mm","1963-12-01","1964-02-29",-39.93704,175.04509,-35.8,-47
"Whangaparāoa (Auckland)","Summer",142.7,"mm","1963-12-01","1964-02-29",-36.606,174.835,-83.9,-62
"Whangārei (Northland)","Summer",140.6,"mm","1963-12-01","1964-02-29",-35.769,174.364,-164.3,-109.7
"Auckland (Auckland)","Spring",176.4,"mm","1963-09-01","1963-11-30",-37.00813,174.78873,-79.1,-74.5
"Blenheim (Marlborough)","Spring",110.6,"mm","1963-09-01","1963-11-30",-41.52133,173.86439,-60.6,-68.9
"Christchurch (Canterbury)","Spring",103.8,"mm","1963-09-01","1963-11-30",-43.493,172.537,-32.1,-33.1
"Dannevirke (Manawatū-Whanganui)","Spring",227.7,"mm","1963-09-01","1963-11-30",-40.21,176.109,-15.7,-51.2
"Dunedin (Otago)","Spring",148.1,"mm","1963-09-01","1963-11-30",-45.90129,170.5147,-5.4,-16.4
"Gisborne (Gisborne)","Spring",135.5,"mm","1963-09-01","1963-11-30",-38.6586,177.9851,-72.2,-62.3
"Gore (Southland)","Spring",193.9,"mm","1963-09-01","1963-11-30",-46.115,168.887,-17.6,-46.7
"Hamilton (Waikato)","Spring",198.10000000000002,"mm","1963-09-01","1963-11-30",-37.86088,175.33175,-102.4,-101.1
"Hokitika (West Coast)","Spring",614.7,"mm","1963-09-01","1963-11-30",-42.71228,170.98428,-169.7,-137.7
"Invercargill (Southland)","Spring",256.5,"mm","1963-09-01","1963-11-30",-46.41741,168.33052,2.5,-32.2
"Kerikeri (Northland)","Spring",167.4,"mm","1963-09-01","1963-11-30",-35.183,173.926,-201.7,-170.1
"Lake Tekapo (Canterbury)","Spring",108,"mm","1963-09-01","1963-11-30",-44.002,170.441,-42.5,-39.9
"Masterton (Wellington)","Spring",138.6,"mm","1963-09-01","1963-11-30",-40.957,175.707,-44.8,-77.1
"Milford Sound (Southland)","Spring",1394.5,"mm","1963-09-01","1963-11-30",-44.67384,167.92406,-211.3,-237.2
"Napier (Hawke's Bay)","Spring",106.9,"mm","1963-09-01","1963-11-30",-39.49846,176.91189,-47.5,-59.1
"Nelson (Nelson)","Spring",143.7,"mm","1963-09-01","1963-11-30",-41.299,173.226,-90,-83.2
"New Plymouth (Taranaki)","Spring",197.8,"mm","1963-09-01","1963-11-30",-39.0079,174.18382,-155.6,-153.4
"Queenstown (Otago)","Spring",160.8,"mm","1963-09-01","1963-11-30",-45.01758,168.74005,-16.2,-23.9
"Reefton (West Coast)","Spring",414.9,"mm","1963-09-01","1963-11-30",-42.11578,171.86014,-145.2,-100.9
"Rotorua (Bay of Plenty)","Spring",221.5,"mm","1963-09-01","1963-11-30",-38.10595,176.31485,-119.8,-61.4
"Tara Hills (Canterbury)","Spring",92.89999999999999,"mm","1963-09-01","1963-11-30",-44.52612,169.88948,-43.8,-32.3
"Taumarunui (Manawatū-Whanganui)","Spring",302.2,"mm","1963-09-01","1963-11-30",-38.88784,175.25981,-73.2,-99.3
"Taupō (Waikato)","Spring",163.4,"mm","1963-09-01","1963-11-30",-38.74263,176.08104,-63.7,-54.4
"Tauranga (Bay of Plenty)","Spring",195.39999999999998,"mm","1963-09-01","1963-11-30",-37.673,176.196,-99.4,-37.8
"Timaru (Canterbury)","Spring",146.89999999999998,"mm","1963-09-01","1963-11-30",-44.30517,171.22141,21.1,8.8
"Waiouru (Manawatū-Whanganui)","Spring",198.9,"mm","1963-09-01","1963-11-30",-39.46249,175.66283,-56.1,-103.1
"Wellington (Wellington)","Spring",176.5,"mm","1963-09-01","1963-11-30",-41.285,174.768,-138.1,-156.6
"Whanganui (Manawatū-Whanganui)","Spring",164.5,"mm","1963-09-01","1963-11-30",-39.93704,175.04509,-41,-75.8
"Whangaparāoa (Auckland)","Spring",189.7,"mm","1963-09-01","1963-11-30",-36.606,174.835,-70.1,-32
"Whangārei (Northland)","Spring",249.39999999999998,"mm","1963-09-01","1963-11-30",-35.769,174.364,-69.9,-16.1
"Auckland (Auckland)","Winter",340.7,"mm","1963-06-01","1963-08-31",-37.00813,174.78873,-19.1,-29.1
"Blenheim (Marlborough)","Winter",319.7,"mm","1963-06-01","1963-08-31",-41.52133,173.86439,122.2,111.4
"Christchurch (Canterbury)","Winter",263.6,"mm","1963-06-01","1963-08-31",-43.493,172.537,85.1,73.1
"Dannevirke (Manawatū-Whanganui)","Winter",324.9,"mm","1963-06-01","1963-08-31",-40.21,176.109,28.8,53.1
"Dunedin (Otago)","Winter",266.2,"mm","1963-06-01","1963-08-31",-45.90129,170.5147,94.6,106.8
"Gisborne (Gisborne)","Winter",371.1,"mm","1963-06-01","1963-08-31",-38.6586,177.9851,22.7,53.6
"Gore (Southland)","Winter",184.79999999999998,"mm","1963-06-01","1963-08-31",-46.115,168.887,-0.5,-9.9
"Hamilton (Waikato)","Winter",368.5,"mm","1963-06-01","1963-08-31",-37.86088,175.33175,-4.2,-12.9
"Hokitika (West Coast)","Winter",649.3,"mm","1963-06-01","1963-08-31",-42.71228,170.98428,-22.7,-83.2
"Invercargill (Southland)","Winter",204.5,"mm","1963-06-01","1963-08-31",-46.41741,168.33052,-29.2,-68.1
"Kerikeri (Northland)","Winter",631.2,"mm","1963-06-01","1963-08-31",-35.183,173.926,65.6,80.5
"Lake Tekapo (Canterbury)","Winter",209.8,"mm","1963-06-01","1963-08-31",-44.002,170.441,40,48.9
"Masterton (Wellington)","Winter",318.7,"mm","1963-06-01","1963-08-31",-40.957,175.707,52.8,49.2
"Milford Sound (Southland)","Winter",811.9000000000001,"mm","1963-06-01","1963-08-31",-44.67384,167.92406,-289.5,-470.9
"Napier (Hawke's Bay)","Winter",422.40000000000003,"mm","1963-06-01","1963-08-31",-39.49846,176.91189,186.7,189.2
"Nelson (Nelson)","Winter",284.7,"mm","1963-06-01","1963-08-31",-41.299,173.226,39.1,37.8
"New Plymouth (Taranaki)","Winter",371.79999999999995,"mm","1963-06-01","1963-08-31",-39.0079,174.18382,-84.8,-43
"Queenstown (Otago)","Winter",107.7,"mm","1963-06-01","1963-08-31",-45.01758,168.74005,-45.3,-67.8
"Reefton (West Coast)","Winter",510.79999999999995,"mm","1963-06-01","1963-08-31",-42.11578,171.86014,-13.8,-26
"Rotorua (Bay of Plenty)","Winter",491.29999999999995,"mm","1963-06-01","1963-08-31",-38.10595,176.31485,79.4,99
"Tara Hills (Canterbury)","Winter",93.9,"mm","1963-06-01","1963-08-31",-44.52612,169.88948,-23.4,-28.1
"Taumarunui (Manawatū-Whanganui)","Winter",377.3,"mm","1963-06-01","1963-08-31",-38.88784,175.25981,-9.6,-54.3
"Taupō (Waikato)","Winter",335.4,"mm","1963-06-01","1963-08-31",-38.74263,176.08104,75.1,54.3
"Tauranga (Bay of Plenty)","Winter",496.5,"mm","1963-06-01","1963-08-31",-37.673,176.196,108.1,134.9
"Timaru (Canterbury)","Winter",243.7,"mm","1963-06-01","1963-08-31",-44.30517,171.22141,126.7,112.7
"Waiouru (Manawatū-Whanganui)","Winter",273,"mm","1963-06-01","1963-08-31",-39.46249,175.66283,-25.4,-71.3
"Wellington (Wellington)","Winter",506.40000000000003,"mm","1963-06-01","1963-08-31",-41.285,174.768,66.1,103.2
"Whanganui (Manawatū-Whanganui)","Winter",157.9,"mm","1963-06-01","1963-08-31",-39.93704,175.04509,-82.9,-103.6
"Whangaparāoa (Auckland)","Winter",341.1,"mm","1963-06-01","1963-08-31",-36.606,174.835,-24.8,15
"Whangārei (Northland)","Winter",593.7,"mm","1963-06-01","1963-08-31",-35.769,174.364,107.8,145.7
"Auckland (Auckland)","Autumn",246.5,"mm","1963-03-01","1963-05-31",-37.00813,174.78873,-28.1,-32.3
"Blenheim (Marlborough)","Autumn",157.1,"mm","1963-03-01","1963-05-31",-41.52133,173.86439,-26.8,-11.3
"Christchurch (Canterbury)","Autumn",114.1,"mm","1963-03-01","1963-05-31",-43.493,172.537,-54.1,-46.7
"Dannevirke (Manawatū-Whanganui)","Autumn",124.30000000000001,"mm","1963-03-01","1963-05-31",-40.21,176.109,-134.9,-109.1
"Dunedin (Otago)","Autumn",139.9,"mm","1963-03-01","1963-05-31",-45.90129,170.5147,-46.3,-31.7
"Gisborne (Gisborne)","Autumn",156.8,"mm","1963-03-01","1963-05-31",-38.6586,177.9851,-109.4,-146.7
"Gore (Southland)","Autumn",232.9,"mm","1963-03-01","1963-05-31",-46.115,168.887,-19.1,-0.8
"Hamilton (Waikato)","Autumn",172,"mm","1963-03-01","1963-05-31",-37.86088,175.33175,-106.9,-117.3
"Hokitika (West Coast)","Autumn",760.7,"mm","1963-03-01","1963-05-31",-42.71228,170.98428,58.9,48.8
"Invercargill (Southland)","Autumn",254.9,"mm","1963-03-01","1963-05-31",-46.41741,168.33052,-55.5,-34
"Kerikeri (Northland)","Autumn",224.2,"mm","1963-03-01","1963-05-31",-35.183,173.926,-174.4,-202.9
"Lake Tekapo (Canterbury)","Autumn",156.9,"mm","1963-03-01","1963-05-31",-44.002,170.441,5.4,-0.7
"Masterton (Wellington)","Autumn",84.8,"mm","1963-03-01","1963-05-31",-40.957,175.707,-121.4,-123.4
"Milford Sound (Southland)","Autumn",1671.7,"mm","1963-03-01","1963-05-31",-44.67384,167.92406,34.8,56.3
"Napier (Hawke's Bay)","Autumn",89.1,"mm","1963-03-01","1963-05-31",-39.49846,176.91189,-115.1,-106.1
"Nelson (Nelson)","Autumn",244.39999999999998,"mm","1963-03-01","1963-05-31",-41.299,173.226,-3.2,15.2
"New Plymouth (Taranaki)","Autumn",283.3,"mm","1963-03-01","1963-05-31",-39.0079,174.18382,-89.1,-73.7
"Queenstown (Otago)","Autumn",159.2,"mm","1963-03-01","1963-05-31",-45.01758,168.74005,-27.9,-18.6
"Reefton (West Coast)","Autumn",488.70000000000005,"mm","1963-03-01","1963-05-31",-42.11578,171.86014,9.5,58
"Rotorua (Bay of Plenty)","Autumn",188.79999999999998,"mm","1963-03-01","1963-05-31",-38.10595,176.31485,-154,-176.3
"Tara Hills (Canterbury)","Autumn",136.8,"mm","1963-03-01","1963-05-31",-44.52612,169.88948,-9.9,15.5
"Taumarunui (Manawatū-Whanganui)","Autumn",222.7,"mm","1963-03-01","1963-05-31",-38.88784,175.25981,-81.1,-108.1
"Taupō (Waikato)","Autumn",110.8,"mm","1963-03-01","1963-05-31",-38.74263,176.08104,-99.2,-111.7
"Tauranga (Bay of Plenty)","Autumn",308.8,"mm","1963-03-01","1963-05-31",-37.673,176.196,-37,-42.1
"Timaru (Canterbury)","Autumn",140,"mm","1963-03-01","1963-05-31",-44.30517,171.22141,-7.6,11.5
"Waiouru (Manawatū-Whanganui)","Autumn",127.3,"mm","1963-03-01","1963-05-31",-39.46249,175.66283,-117.4,-127.8
"Wellington (Wellington)","Autumn",228.8,"mm","1963-03-01","1963-05-31",-41.285,174.768,-113.6,-82.4
"Whanganui (Manawatū-Whanganui)","Autumn",185.8,"mm","1963-03-01","1963-05-31",-39.93704,175.04509,-25.2,-38.5
"Whangaparāoa (Auckland)","Autumn",257.6,"mm","1963-03-01","1963-05-31",-36.606,174.835,-8.5,-16.6
"Whangārei (Northland)","Autumn",204.5,"mm","1963-03-01","1963-05-31",-35.769,174.364,-167.9,-114.9
"Auckland (Auckland)","Annual",985.9,"mm","1963-01-01","1963-12-31",-37.00813,174.78873,-144,-113.8
"Blenheim (Marlborough)","Annual",709.6,"mm","1963-01-01","1963-12-31",-41.52133,173.86439,15,4
"Christchurch (Canterbury)","Annual",678.2,"mm","1963-01-01","1963-12-31",-43.493,172.537,62.4,60
"Dannevirke (Manawatū-Whanganui)","Annual",878.5,"mm","1963-01-01","1963-12-31",-40.21,176.109,-151,-130.5
"Dunedin (Otago)","Annual",724.7,"mm","1963-01-01","1963-12-31",-45.90129,170.5147,37.7,24.7
"Gisborne (Gisborne)","Annual",834.8,"mm","1963-01-01","1963-12-31",-38.6586,177.9851,-186.8,-185.4
"Gore (Southland)","Annual",838.7,"mm","1963-01-01","1963-12-31",-46.115,168.887,-63.5,-99.7
"Hamilton (Waikato)","Annual",909.5,"mm","1963-01-01","1963-12-31",-37.86088,175.33175,-309.7,-311
"Hokitika (West Coast)","Annual",2755.9,"mm","1963-01-01","1963-12-31",-42.71228,170.98428,-68.4,-150.1
"Invercargill (Southland)","Annual",994.2,"mm","1963-01-01","1963-12-31",-46.41741,168.33052,-87.4,-135.3
"Kerikeri (Northland)","Annual",1125.3,"mm","1963-01-01","1963-12-31",-35.183,173.926,-504.1,-518.7
"Lake Tekapo (Canterbury)","Annual",589.7,"mm","1963-01-01","1963-12-31",-44.002,170.441,-8.1,-9.6
"Masterton (Wellington)","Annual",673,"mm","1963-01-01","1963-12-31",-40.957,175.707,-135.2,-181.6
"Milford Sound (Southland)","Annual",5267.3,"mm","1963-01-01","1963-12-31",-44.67384,167.92406,-692.5,-937.8
"Napier (Hawke's Bay)","Annual",755.3,"mm","1963-01-01","1963-12-31",-39.49846,176.91189,0.5,3.1
"Nelson (Nelson)","Annual",885.7,"mm","1963-01-01","1963-12-31",-41.299,173.226,-34.1,-34.8
"New Plymouth (Taranaki)","Annual",1141.4,"mm","1963-01-01","1963-12-31",-39.0079,174.18382,-356.9,-272.9
"Queenstown (Otago)","Annual",588.5,"mm","1963-01-01","1963-12-31",-45.01758,168.74005,-84.6,-137.4
"Reefton (West Coast)","Annual",1798.2,"mm","1963-01-01","1963-12-31",-42.11578,171.86014,-189.5,-94.4
"Rotorua (Bay of Plenty)","Annual",1218.1,"mm","1963-01-01","1963-12-31",-38.10595,176.31485,-224.8,-128.4
"Tara Hills (Canterbury)","Annual",477.8,"mm","1963-01-01","1963-12-31",-44.52612,169.88948,-72.8,-35.4
"Taumarunui (Manawatū-Whanganui)","Annual",1201.2,"mm","1963-01-01","1963-12-31",-38.88784,175.25981,-172.4,-278.7
"Taupō (Waikato)","Annual",752.1,"mm","1963-01-01","1963-12-31",-38.74263,176.08104,-183.2,-194.7
"Tauranga (Bay of Plenty)","Annual",1381.3,"mm","1963-01-01","1963-12-31",-37.673,176.196,63.5,177.1
