Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
3925,20191218:0800,19.2,24,8.3,24,8.6,24,13.8,-,24,D
3925,20191219:0800,20.6,24,8.3,24,7,24,14.5,-,24,D
3925,20191220:0800,16.8,24,9.8,24,10.5,24,13.3,-,24,D
3925,20191221:0800,14.2,24,4.4,24,2.5,24,9.3,-,24,D
3925,20191222:0800,19.6,24,8.2,24,6.9,24,13.9,-,24,D
3925,20191223:0800,23,24,8.9,24,7.1,24,16,-,24,D
3925,20191224:0800,24.7,24,8.6,24,6.1,24,16.7,-,24,D
3925,20191225:0800,22,24,11.4,24,11.3,24,16.7,-,24,D
3925,20191226:0800,22.6,24,8.5,24,6.1,24,15.6,-,24,D
3925,20191227:0800,22.7,24,9.6,24,6.3,24,16.2,-,24,D
3925,20191228:0800,19.4,24,7.2,24,4.6,24,13.3,-,24,D
3925,20191229:0800,17.5,24,9.4,24,8.6,24,13.5,-,24,D
3925,20191230:0800,20.7,24,10.4,24,9.5,24,15.6,-,24,D
3925,20191231:0800,23.8,24,12.9,24,11.8,24,18.4,-,24,D
3925,20200101:0800,24.2,24,9.8,24,7.2,24,17,-,24,D
3925,20200102:0800,23.8,24,10.5,24,8.5,24,17.2,-,24,D
