Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C),,,,,,
20090901,9.6,8.6,87,7.6,,,,,,
20090902,5.6,5.5,98,5.3,,,,,,
20090903,3.8,3.7,98,3.5,,,,,,
20090904,0.2,0.1,97,-0.2,,,,,,
20090905,-1,-1,98,-1.2,,,,,,
20090906,-0.1,-0.2,98,-0.4,,,,,,
20090907,1.3,0.4,83,-1.3,,,,,,
20090908,3.2,2,80,0.1,,,,,,
20090909,4.5,3.3,81,1.5,,,,,,
20090910,6.5,5.6,86,4.3,,,,,,
20090911,10.4,10.3,98,10.1,,,,,,
20090912,8.6,8.5,98,8.3,,,,,,
20090913,8.1,8,98,7.8,,,,,,
20090914,5.9,5.8,98,5.6,,,,,,
20090915,11.7,9.7,76,7.6,,,,,,
20090916,7.4,6.4,85,5.1,,,,,,
20090917,7,5.6,80,3.8,,,,,,
20090918,5.1,4.9,97,4.7,,,,,,
20090919,10.2,9,84,7.6,,,,,,
20090920,7.9,6.6,81,4.9,,,,,,
20090921,9.6,8.2,81,6.5,,,,,,
20090922,11.1,10,86,8.9,,,,,,
20090923,5.2,5.1,98,4.9,,,,,,
20090924,5.3,4.1,81,2.3,,,,,,
20090925,7.3,6,81,4.3,,,,,,
20090926,11.1,8,62,4.1,,,,,,
20090927,8.8,8.4,95,8.1,,,,,,
20090928,9.8,9.2,92,8.6,,,,,,
20090929,6.9,6.8,98,6.6,,,,,,
20090930,9.3,8.9,94,8.4,,,,,,
20091001,4.7,4.6,98,4.4,,,,,,
20091002,9.5,9.3,97,9.1,,,,,,
20091003,7.7,7.5,97,7.3,,,,,,
20091004,2.3,2.2,98,2,,,,,,
20091005,4.6,2.2,61,-2.3,,,,,,
20091006,2.7,1.7,82,0,,,,,,
20091007,4.3,2.9,77,0.7,,,,,,
20091008,7.4,6.9,93,6.4,,,,,,
20091009,6.4,6,94,5.5,,,,,,
20091010,5.1,2.8,64,-1.1,,,,,,
20091011,3.7,3,88,1.9,,,,,,
20091012,7.2,6.9,96,6.6,,,,,,
20091013,7.2,6.5,89,5.5,,,,,,
20091014,8.4,7.8,91,7,,,,,,
20091015,8.7,8,90,7.2,,,,,,
20091016,11.2,10.7,94,10.3,,,,,,
20091017,8.6,8.5,98,8.3,,,,,,
20091018,11.2,9.9,84,8.6,,,,,,
20091019,6.4,5.2,82,3.6,,,,,,
20091020,8.4,7.2,83,5.7,,,,,,
20091021,7.4,6.2,83,4.7,,,,,,
20091022,10.6,10.2,95,9.9,,,,,,
20091023,7.2,6.3,87,5.2,,,,,,
20091024,8,6.8,83,5.3,,,,,,
20091025,8,7.7,95,7.3,,,,,,
20091026,6.7,6.3,94,5.8,,,,,,
20091027,9.4,8.3,85,7,,,,,,
20091028,9,7.1,75,4.8,,,,,,
20091029,7,5.1,73,2.5,,,,,,
20091030,5.9,4.7,82,3.1,,,,,,
20091031,9.2,7.5,77,5.4,,,,,,
20091101,12.3,11,84,9.7,,,,,,
20091102,10.9,9.6,84,8.3,,,,,,
20091103,12.5,10.3,74,8,,,,,,
20091104,10.6,8.5,74,6.2,,,,,,
20091105,11.5,10.9,92,10.3,,,,,,
20091106,10.8,9,77,6.9,,,,,,
20091107,11.7,8.9,67,5.8,,,,,,
20091108,12,9.7,73,7.3,,,,,,
20091109,10.7,10,91,9.3,,,,,,
20091110,12.6,10.9,80,9.3,,,,,,
20091111,11.6,10,81,8.5,,,,,,
20091112,9.2,7.9,83,6.5,,,,,,
20091113,8.4,7.8,91,7,,,,,,
20091114,9.2,7.7,80,5.9,,,,,,
20091115,13.3,12.4,89,11.5,,,,,,
20091116,8.3,7.8,93,7.2,,,,,,
20091117,9.5,7.8,78,5.9,,,,,,
20091118,11.8,8.9,65,5.5,,,,,,
20091119,12.1,10.9,85,9.7,,,,,,
20091120,11.4,9.9,82,8.5,,,,,,
20091121,14.9,13.6,86,12.6,,,,,,
20091122,13,11.5,82,10,,,,,,
20091123,12.8,11.1,80,9.5,,,,,,
20091124,16.7,14.6,78,12.9,,,,,,
20091125,14,10.6,63,7.1,,,,,,
20091126,14.9,11.9,68,9.1,,,,,,
20091127,9.1,7.8,83,6.4,,,,,,
20091128,15.6,15.1,95,14.8,,,,,,
20091129,12.4,9.4,65,6,,,,,,
20091130,11.8,10.5,84,9.2,,,,,,
20091201,12.4,12,95,11.6,,,,,,
20091202,13.2,13,97,12.7,,,,,,
20091203,13.1,10.7,72,8.2,,,,,,
20091204,11.2,8.6,68,5.5,,,,,,
20091205,14.2,12.6,82,11.2,,,,,,
20091206,13.6,12.1,83,10.8,,,,,,
20091207,13.2,11.7,83,10.4,,,,,,
20091208,14.3,11.7,71,9.1,,,,,,
20091209,16.6,13.9,73,11.8,,,,,,
20091210,17.9,16.7,88,15.9,,,,,,
20091211,17.9,16.7,88,15.9,,,,,,
20091212,13.7,11.9,80,10.3,,,,,,
20091213,11.5,11.1,95,10.7,,,,,,
20091214,11.4,10.1,84,8.8,,,,,,
20091215,10.3,8.9,82,7.4,,,,,,
20091216,9,8.6,94,8.1,,,,,,
20091217,12.7,11.3,83,9.9,,,,,,
20091218,14,12.3,81,10.8,,,,,,
20091219,16.3,15.5,91,14.8,,,,,,
20091220,13.2,11.8,84,10.6,,,,,,
20091221,11.1,9.2,77,7.2,,,,,,
20091222,13.2,10.7,72,8.3,,,,,,
20091223,13,10.9,76,8.9,,,,,,
20091224,13.6,11,71,8.5,,,,,,
20091225,15.4,13.4,79,11.8,,,,,,
20091226,13.3,12.2,87,11.2,,,,,,
20091227,17.8,17.3,95,17,,,,,,
20091228,17.5,16.6,91,16,,,,,,
20091229,14.1,13.8,97,13.6,,,,,,
20091230,15.1,12.2,69,9.5,,,,,,
20091231,9.5,8.4,85,7.1,,,,,,
20100101,12.1,10.1,76,8,,,,,,
20100102,16.4,16.1,97,15.9,,,,,,
20100103,19.6,18.2,87,17.4,,,,,,
20100104,12,10.8,85,9.6,,,,,,
20100105,11.9,9.4,70,6.6,,,,,,
20100106,12.6,11.8,90,11,,,,,,
20100107,14.8,13.5,86,12.5,,,,,,
20100108,9.7,8.4,83,7,,,,,,
20100109,9.7,8.5,84,7.2,,,,,,
20100110,11.8,11.3,94,10.9,,,,,,
20100111,10.5,9.6,88,8.6,,,,,,
20100112,9.6,9.3,96,9,,,,,,
20100113,12.6,10.9,80,9.3,,,,,,
20100114,16.1,14.4,82,13,,,,,,
20100115,16.8,13.9,71,11.5,,,,,,
20100116,16.6,11.5,50,6.2,,,,,,
20100117,19.7,15.1,59,11.5,,,,,,
20100118,16.2,15.1,88,14.2,,,,,,
20100119,15,14,89,13.2,,,,,,
20100120,16.8,15.3,84,14.1,,,,,,
20100121,16.2,15.8,96,15.6,,,,,,
20100122,17.1,15.5,84,14.4,,,,,,
20100123,15,13.9,88,13,,,,,,
20100124,15.6,14.8,91,14.1,,,,,,
20100125,16.6,15.2,85,14.1,,,,,,
20100126,15.1,13.8,86,12.8,,,,,,
20100127,15.9,14.5,85,13.4,,,,,,
20100128,16.6,15.2,85,14.1,,,,,,
20100129,17.4,14.9,75,12.9,,,,,,
20100130,15.8,14.9,90,14.2,,,,,,
20100131,17.8,13.6,60,9.9,,,,,,
20100201,15,11.5,63,8,,,,,,
20100202,16.7,14.2,75,12.3,,,,,,
20100203,17.4,15,76,13.1,,,,,,
20100204,16.8,15,82,13.7,,,,,,
20100205,17.2,15.4,82,14.1,,,,,,
20100206,19.2,17,79,15.5,,,,,,
20100207,18.7,15.6,71,13.3,,,,,,
20100208,18.2,15.8,77,14.1,,,,,,
20100209,18.1,16.2,81,14.8,,,,,,
20100210,14.3,13.8,94,13.4,,,,,,
20100211,17.5,16.2,87,15.3,,,,,,
20100212,17.7,16.5,88,15.7,,,,,,
20100213,18.5,18.1,96,17.9,,,,,,
20100214,11.8,11.2,92,10.5,,,,,,
20100215,12.8,11.4,84,10.2,,,,,,
20100216,11.8,11.2,93,10.7,,,,,,
20100217,13.9,12.9,89,12.1,,,,,,
20100218,17.2,16.3,91,15.7,,,,,,
20100219,13.9,13,90,12.3,,,,,,
20100220,13.9,13,90,12.3,,,,,,
20100221,12.2,10.9,84,9.6,,,,,,
20100222,13,12,88,11.1,,,,,,
20100223,14.1,12.9,86,11.8,,,,,,
20100224,15.4,14.1,86,13.1,,,,,,
20100225,15.2,14.5,92,13.9,,,,,,
20100226,11.6,11.1,94,10.7,,,,,,
