Date(NZST),Radiation(MJ/m2)
20120613,6.99
20120614,7.14
20120615,8.31
20120616,8.31
20120617,4.41
20120618,1.9
20120619,2.99
20120620,4.09
20120622,3.62
20120623,1.31
20120624,5.09
20120625,4.4
20120626,2.93
20120627,1.6
20120628,3.95
20120629,8.39
20120630,8.06
20120701,7.66
20120702,8.07
20120703,6.51
20120704,6.41
20120705,6.53
20120706,7.97
20120707,7.63
20120708,7.81
20120709,4.9
20120710,4.89
20120711,6.91
20120712,3.75
20120713,3.37
20120714,2.39
20120715,3.91
20120716,4.18
20120717,7.46
20120718,6.76
20120719,4.12
20120720,7.54
20120721,3.69
20120722,5.66
20120723,6.89
20120724,3.89
20120725,5.07
20120726,8.14
20120727,9.34
20120728,8.11
20120729,9.28
20120730,4.03
20120731,4.5
20120801,9.38
20120802,10.03
20120803,4.79
20120804,7.86
20120805,6.52
20120806,6.63
20120807,3.31
20120808,4.5
20120809,11.53
20120810,8.79
20120811,9.43
20120812,2.78
20120813,8.72
20120814,12.98
20120815,8.23
20120816,7.43
20120817,9.15
20120818,10.57
20120819,3.28
20120820,10.11
20120821,12.18
20120822,7.79
20120823,8.45
20120824,11.01
20120825,7.41
20120826,7.96
20120827,7.77
20120828,11.87
20120829,14.13
20120830,13.64
20120831,14.37
20120901,4.07
20120902,4.19
20120903,5.76
20120904,7.39
20120905,6.96
20120906,8.86
20120907,7.24
20120908,3.7
20120909,8.56
20120910,6.89
20120911,7.6
20120912,15.77
20120913,12.25
20120914,9.75
20120915,5.39
20120916,12.81
20120917,10.03
20120918,14.13
20120919,12.92
20120920,11.54
20120921,18.6
20120922,15.34
20120923,17.09
20120924,12.77
20120925,10.03
20120926,5.65
20120927,21.17
20120928,21.46
20120929,21.01
20120930,14.34
20121001,8.3
20121002,15.54
20121003,11.05
20121004,15.42
20121005,7.09
20121006,8.38
20121007,15.93
20121008,3.24
20121009,9.14
20121010,15.46
20121011,19.05
20121012,8.22
20121013,6.33
20121014,23.46
20121015,16.17
20121016,15.35
20121017,5.1
20121018,5.28
20121019,19.38
20121020,15
20121021,10.55
20121022,16.05
20121023,20.62
20121024,16.08
20121025,14.19
20121026,14.69
20121027,6.42
20121028,13.51
20121029,27.39
20121030,26.4
20121031,23.63
20121101,15.34
20121102,13.82
20121103,15
20121104,23.73
20121105,21.39
20121106,29.88
20121107,28.58
20121108,29.68
20121109,29.31
20121110,16.37
20121111,13.71
20121112,26.14
20121113,19.07
20121114,17.45
20121115,20.97
20121116,14.47
20121117,9.14
20121118,23.32
20121119,14.99
20121120,28.52
20121121,31.68
20121122,28.35
20121123,20.71
20121124,27.72
20121125,24.31
