Station,Date(NZST),Percent(%),Depth(cm)
3925,20190116:2200,35.1,20
3925,20190116:2300,35.4,20
3925,20190117:0000,35.2,20
3925,20190117:0100,35.1,20
3925,20190117:0200,35.2,20
3925,20190117:0300,35.2,20
3925,20190117:0400,35.3,20
3925,20190117:0500,35.1,20
3925,20190117:0600,35.1,20
3925,20190117:0700,35.1,20
3925,20190117:0800,35.2,20
3925,20190117:0900,35.2,20
3925,20190117:1000,35.2,20
3925,20190117:1100,35.2,20
3925,20190117:1200,35.1,20
3925,20190117:1300,35,20
3925,20190117:1400,34.9,20
3925,20190117:1500,34.7,20
3925,20190117:1600,34.7,20
3925,20190117:1700,34.8,20
3925,20190117:1800,34.6,20
3925,20190117:1900,34.5,20
3925,20190117:2000,34.6,20
3925,20190117:2100,34.6,20
3925,20190117:2200,34.4,20
3925,20190117:2300,34.4,20
3925,20190118:0000,34.4,20
3925,20190118:0100,34.4,20
3925,20190118:0200,34.4,20
3925,20190118:0300,34.5,20
3925,20190118:0400,34.5,20
3925,20190118:0500,34.4,20
3925,20190118:0600,34.5,20
3925,20190118:0700,34.4,20
3925,20190118:0800,34.5,20
3925,20190118:0900,34.4,20
3925,20190118:1000,34.4,20
3925,20190118:1100,34.5,20
3925,20190118:1200,34.4,20
3925,20190118:1300,34.4,20
3925,20190118:1400,34.3,20
3925,20190118:1500,34.1,20
3925,20190118:1600,34,20
3925,20190118:1700,33.8,20
3925,20190118:1800,33.9,20
3925,20190118:1900,33.8,20
3925,20190118:2000,33.7,20
3925,20190118:2100,33.8,20
3925,20190118:2200,33.8,20
3925,20190118:2300,33.7,20
3925,20190119:0000,33.6,20
3925,20190119:0100,33.5,20
3925,20190119:0200,33.6,20
3925,20190119:0300,33.6,20
3925,20190119:0400,33.5,20
3925,20190119:0500,33.5,20
3925,20190119:0600,33.6,20
3925,20190119:0700,33.6,20
3925,20190119:0800,33.6,20
3925,20190119:0900,33.5,20
3925,20190119:1000,33.6,20
3925,20190119:1100,33.6,20
3925,20190119:1200,33.7,20
3925,20190119:1300,33.6,20
3925,20190119:1400,33.6,20
3925,20190119:1500,33.5,20
3925,20190119:1600,33.2,20
3925,20190119:1700,33.5,20
