Station,Date(NZST),Dir(DegT),Speed(m/s),Period(Hrs),Freq
3925,20100625:2359,198,6.2,24,D
3925,20100626:2359,195,6.7,24,D
3925,20100627:2359,178,5.7,24,D
3925,20100628:2359,138,3.1,24,D
3925,20100629:2359,5,3.6,24,D
3925,20100630:2359,94,4.1,24,D
3925,20100701:2359,109,5.7,24,D
3925,20100702:2359,113,3.1,24,D
3925,20100703:2359,308,2.6,24,D
3925,20100704:2359,105,3.6,24,D
3925,20100705:2359,104,4.6,24,D
3925,20100706:2359,102,3.6,24,D
3925,20100707:2359,101,5.1,24,D
3925,20100708:2359,272,6.7,24,D
3925,20100709:2359,105,7.7,24,D
3925,20100710:2359,126,4.6,24,D
3925,20100711:2359,116,4.6,24,D
3925,20100712:2359,304,2.6,24,D
3925,20100713:2359,197,5.1,24,D
3925,20100714:2359,133,4.1,24,D
3925,20100715:2359,110,4.1,24,D
3925,20100716:2359,124,3.6,24,D
3925,20100717:2359,247,6.2,24,D
3925,20100718:2359,144,2.6,24,D
3925,20100719:2359,286,3.6,24,D
3925,20100720:2359,130,7.2,24,D
3925,20100721:2359,68,7.2,24,D
3925,20100722:2359,112,3.6,24,D
3925,20100723:2359,210,8.8,24,D
3925,20100724:2359,138,4.6,24,D
3925,20100725:2359,121,4.1,24,D
3925,20100726:2359,317,4.1,24,D
3925,20100727:2359,208,8.2,24,D
3925,20100728:2359,207,4.6,24,D
3925,20100729:2359,129,5.1,24,D
3925,20100730:2359,131,5.1,24,D
3925,20100731:2359,350,10.3,24,D
3925,20100801:2359,38,15.4,24,D
3925,20100802:2359,195,4.6,24,D
3925,20100803:2359,126,5.1,24,D
3925,20100804:2359,116,5.1,24,D
3925,20100805:2359,110,4.6,24,D
3925,20100806:2359,35,5.1,24,D
3925,20100807:2359,53,8.2,24,D
3925,20100808:2359,194,6.2,24,D
3925,20100809:2359,94,6.2,24,D
3925,20100810:2359,116,4.6,24,D
3925,20100811:2359,113,5.1,24,D
3925,20100812:2359,65,7.7,24,D
3925,20100813:2359,58,15.4,24,D
3925,20100814:2359,29,6.2,24,D
3925,20100815:2359,85,5.1,24,D
3925,20100816:2359,40,5.1,24,D
3925,20100817:2359,63,6.7,24,D
3925,20100818:2359,29,6.2,24,D
3925,20100819:2359,342,5.7,24,D
3925,20100820:2359,291,4.1,24,D
3925,20100821:2359,114,3.6,24,D
3925,20100822:2359,356,4.1,24,D
3925,20100823:2359,153,8.8,24,D
3925,20100824:2359,123,5.1,24,D
3925,20100825:2359,18,9.8,24,D
3925,20100826:2359,14,7.7,24,D
3925,20100827:2359,357,5.7,24,D
3925,20100828:2359,49,9.3,24,D
3925,20100829:2359,124,5.7,24,D
3925,20100830:2359,119,5.7,24,D
3925,20100831:2359,151,7.7,24,D
3925,20100901:2359,52,4.6,24,D
3925,20100902:2359,37,12.4,24,D
3925,20100903:2359,205,13.4,24,D
3925,20100904:2359,334,4.1,24,D
3925,20100905:2359,49,13.9,24,D
3925,20100906:2359,58,8.8,24,D
3925,20100907:2359,56,8.2,24,D
3925,20100908:2359,101,10.8,24,D
3925,20100909:2359,283,4.6,24,D
3925,20100910:2359,14,7.2,24,D
3925,20100911:2359,8,6.7,24,D
3925,20100912:2359,303,4.1,24,D
3925,20100913:2359,53,5.7,24,D
3925,20100914:2359,31,8.8,24,D
3925,20100915:2359,211,5.1,24,D
3925,20100916:2359,19,8.2,24,D
3925,20100917:2359,290,11.3,24,D
3925,20100918:2359,281,10.3,24,D
3925,20100919:2359,262,8.8,24,D
3925,20100920:2359,262,11.3,24,D
3925,20100921:2359,152,9.3,24,D
3925,20100922:2359,205,10.3,24,D
3925,20100923:2359,202,10.3,24,D
3925,20100924:2359,84,8.8,24,D
3925,20100925:2359,1,7.2,24,D
3925,20100926:2259,33,10.3,24,D
3925,20100927:2259,310,4.6,24,D
3925,20100928:2259,14,9.8,24,D
3925,20100929:2259,21,9.8,24,D
3925,20100930:2259,55,10.3,24,D
3925,20101001:2259,220,8.2,24,D
3925,20101002:2259,164,7.7,24,D
3925,20101003:2259,258,5.1,24,D
3925,20101004:2259,263,5.1,24,D
3925,20101005:2259,266,5.7,24,D
3925,20101006:2259,248,6.2,24,D
3925,20101007:2259,156,6.2,24,D
3925,20101008:2259,32,16,24,D
3925,20101009:2259,16,9.3,24,D
3925,20101010:2259,185,9.3,24,D
