Station,Date(NZST),Percent(%),Depth(cm)
3925,20090124:1600,48.2,20
3925,20090124:1700,48,20
3925,20090124:1800,48,20
3925,20090124:1900,47.8,20
3925,20090124:2000,47.7,20
3925,20090124:2100,47.8,20
3925,20090124:2200,47.8,20
3925,20090124:2300,47.8,20
3925,20090125:0000,47.7,20
3925,20090125:0100,47.7,20
3925,20090125:0200,47.9,20
3925,20090125:0300,47.8,20
3925,20090125:0400,47.9,20
3925,20090125:0500,47.8,20
3925,20090125:0600,47.8,20
3925,20090125:0700,47.9,20
3925,20090125:0800,47.9,20
3925,20090125:0900,47.9,20
3925,20090125:1000,47.9,20
3925,20090125:1100,47.8,20
3925,20090125:1200,47.7,20
3925,20090125:1300,47.9,20
3925,20090125:1400,47.7,20
3925,20090125:1500,47.7,20
3925,20090125:1600,47.7,20
3925,20090125:1700,47.6,20
3925,20090125:1800,47.5,20
3925,20090125:1900,47.2,20
3925,20090125:2000,47.2,20
3925,20090125:2100,47.5,20
3925,20090125:2200,47.6,20
3925,20090125:2300,47.2,20
3925,20090126:0000,47.4,20
3925,20090126:0100,47.6,20
3925,20090126:0200,47.2,20
3925,20090126:0300,47.5,20
3925,20090126:0400,47.5,20
3925,20090126:0500,47.7,20
3925,20090126:0600,47.4,20
3925,20090126:0700,47.5,20
3925,20090126:0800,47.7,20
3925,20090126:0900,47.7,20
3925,20090126:1000,47.7,20
3925,20090126:1100,47.5,20
3925,20090126:1200,47.4,20
3925,20090126:1300,47.4,20
3925,20090126:1400,47.3,20
3925,20090126:1500,47.1,20
3925,20090126:1600,47.2,20
3925,20090126:1700,47,20
3925,20090126:1800,47.1,20
3925,20090126:1900,47.1,20
3925,20090126:2000,47,20
3925,20090126:2100,47,20
3925,20090126:2200,46.7,20
3925,20090126:2300,46.7,20
3925,20090127:0000,47.1,20
3925,20090127:0100,46.9,20
3925,20090127:0200,46.9,20
3925,20090127:0300,47.2,20
3925,20090127:0400,47.2,20
3925,20090127:0500,46.9,20
3925,20090127:0600,47.1,20
3925,20090127:0700,47.2,20
3925,20090127:0800,47.2,20
3925,20090127:0900,47,20
3925,20090127:1000,47.1,20
3925,20090127:1100,47.1,20
3925,20090127:1200,47.1,20
3925,20090127:1300,47,20
3925,20090127:1400,46.9,20
3925,20090127:1500,47,20
3925,20090127:1600,46.7,20
3925,20090127:1700,46.9,20
3925,20090127:1800,46.6,20
3925,20090127:1900,46.9,20
3925,20090127:2000,46.5,20
3925,20090127:2100,46.6,20
3925,20090127:2200,46.8,20
3925,20090127:2300,46.7,20
3925,20090128:0000,46.9,20
3925,20090128:0100,46.9,20
3925,20090128:0200,46.9,20
3925,20090128:0300,46.9,20
3925,20090128:0400,47.1,20
3925,20090128:0500,46.9,20
3925,20090128:0600,46.8,20
3925,20090128:0700,47,20
3925,20090128:0800,47,20
3925,20090128:0900,47.1,20
3925,20090128:1000,47,20
3925,20090128:1100,47,20
3925,20090128:1200,47,20
3925,20090128:1300,47.1,20
3925,20090128:1400,46.9,20
3925,20090128:1500,46.8,20
3925,20090128:1600,46.8,20
3925,20090128:1700,46.8,20
3925,20090128:1800,46.8,20
3925,20090128:1900,46.6,20
3925,20090128:2000,46.6,20
3925,20090128:2100,46.6,20
3925,20090128:2200,46.5,20
3925,20090128:2300,46.7,20
3925,20090129:0000,46.6,20
3925,20090129:0100,46.6,20
3925,20090129:0200,46.7,20
3925,20090129:0300,46.7,20
3925,20090129:0400,46.8,20
3925,20090129:0500,46.7,20
3925,20090129:0600,46.7,20
3925,20090129:0700,46.7,20
3925,20090129:0800,46.7,20
3925,20090129:0900,46.6,20
3925,20090129:1000,46.7,20
3925,20090129:1100,46.7,20
3925,20090129:1200,46.8,20
3925,20090129:1300,46.6,20
3925,20090129:1400,46.5,20
3925,20090129:1500,46.5,20
3925,20090129:1600,46.5,20
3925,20090129:1700,46.4,20
3925,20090129:1800,46.4,20
3925,20090129:1900,46.4,20
3925,20090129:2000,46.4,20
3925,20090129:2100,46.3,20
3925,20090129:2200,46.4,20
3925,20090129:2300,46.4,20
3925,20090130:0000,46.6,20
3925,20090130:0100,46.3,20
3925,20090130:0200,46.6,20
3925,20090130:0300,46.6,20
3925,20090130:0400,46.6,20
3925,20090130:0500,46.6,20
3925,20090130:0600,46.5,20
3925,20090130:0700,46.5,20
3925,20090130:0800,46.5,20
3925,20090130:0900,46.5,20
3925,20090130:1000,46.5,20
3925,20090130:1100,46.6,20
3925,20090130:1200,46.6,20
3925,20090130:1300,46.6,20
